
      NAME,RTG,TEAM,GP,TCKL,SOLO,AST,TFL,SCK,SCK YDS,QBH,PASS DEF,FF,FUMR,FUMR YDS,FUMR TD,INT,INT YDS,INT TD
"Bobby Wagner",97,"SEA","16","158","88","70","9","3","16","3","6","1","1","5",0,"1","6",0
"Blake Martinez",76,"GB","16","154","97","57","6.5","3","20","3","2","1",0,0,0,"1","22",0
"Jordan Hicks",79,"ARI","16","148","92","56","13","1.5","11.5","7","6","2","1",0,0,"3","64",0
"Budda Baker",78,"ARI","16","148","105","43","8.5","0.5","4","3","6","2","1",0,0,0,0,0
"Luke Kuechly",99,"CAR","16","144","80","64","6",0,0,"5","12",0,0,0,0,"2","26",0
"Zach Cunningham",74,"HOU","16","143","100","43","9.5","2","11","3","2",0,"2","23",0,0,0,0
"Jaylon Smith",83,"DAL","16","141","84","57","8","2.5","31","3","9","2","1","6",0,"1",0,0
"Todd Davis",74,"DEN","14","134","81","53","6",0,0,"1","1",0,0,0,0,0,0,0
"Cory Littleton",73,"LAR","15","123","76","47","5.5","3.5","25","4","9","2","4","16",0,"2","32",0
"Joe Schobert",78,"CLE","16","133","90","43","6.5","2","19","4","9","2","1","21",0,"4","24",0
"KJ Wright",80,"SEA","16","130","67","63","5.5",0,0,"1","11",0,0,0,0,"3","10",0
"Eric Reid",77,"CAR","16","130","97","33","7","4","15","5","6","1","2",0,0,0,0,0
"De'Vondre Campbell",77,"ATL","16","128","74","54","7","2","18","2","5","3","1",0,0,"2","-5",0
"Jerome Baker",78,"MIA","16","126","76","50","6.5","1.5","13","5","4","2",0,0,0,"1","34",0
"Anthony Walker",78,"IND","16","126","85","41","8","2.5","3","4","2","1",0,0,0,"1",0,0
"Lavonte David",89,"TB","16","122","82","40","11.5","1","14","7","7","3","1",0,0,"1","26",0
"Darius Leonard",85,"IND","13","120","71","49","9.5","5","26.5","6","7","2",0,0,0,"5","92","1"
"Fred Warner",74,"SF","16","118","89","29","8","3","31","5","9","2",0,0,0,"1","46","1"
"Landon Collins",85,"WAS","15","117","78","39","9.5","1","9","3","4","2",0,0,0,0,0,0
"Tremaine Edmunds",76,"BUF","16","116","66","50","11","1.5","11.5","4","8",0,0,0,0,"1",0,0
"Shawn Williams",78,"CIN","16","111","78","33","5.5","1","3","3","3",0,0,0,0,"1","12",0
"Logan Ryan",81,"TEN","16","113","73","40","7","4.5","31.5","8","18","3",0,0,0,"4","16",0
"Thomas Davis",80,"LAC","16","111","65","46","4","1","5.5","2","2",0,0,0,0,0,0,0
"Rashaan Evans",76,"TEN","16","112","70","42","10.5","2.5","13.5","8",0,0,"1","53","1",0,0,0
"Demario Davis",84,"NO","16","112","88","24","11.5","4","37","10","12",0,0,0,0,"1","1",0
"Nick Vigil",74,"CIN","16","108","59","49","5","1",0,"4","5","1","2","14",0,"1","34",0
"Deion Jones",88,"ATL","16","110","68","42","9",0,0,"4","5",0,"1","5",0,"1","27","1"
"Antoine Bethea",76,"NYG","16","110","81","29","3",0,0,0,"6",0,"2",0,0,"1","7",0
"Eric Kendricks",76,"MIN","15","110","70","40","4.5","0.5","4.5","2","12","2","2","25",0,0,0,0
"Devin Bush",74,"PIT","16","108","72","36","10","1","9","2","4","1","4","20","1","2","6",0
"Shaq Thompson",77,"CAR","14","108","75","33","11","3","18","4","3",0,0,0,0,0,0,0
"Eric Weddle",82,"LAR","15","99","61","38","1.5",0,0,"1","3",0,0,0,0,0,0,0
"Tahir Whitehead",77,"OAK","16","109","79","30","7",0,0,"1","1",0,0,0,0,0,0,0
"Jordan Poyer",82,"BUF","16","108","71","37","5.5","1","5","1","3","3","3",0,0,"2",0,0
"Cole Holcomb",77,"WAS","16","106","74","32","5","1","6","2","1","2",0,0,0,0,0,0
"Terrell Edmunds",75,"PIT","16","105","71","34","4",0,0,"2","3",0,0,0,0,0,0,0
"Jayon Brown",77,"TEN","14","103","67","36","3","1","1","3","8",0,"1","46","1","1",0,0
"Jon Bostic",71,"WAS","16","103","56","47","3","1",0,"6","2",0,0,0,0,"1","26",0
