
      NAME,RTG,TEAM,GP,TCKL,SOLO,AST,TFL,SCK,SCK YDS,QBH,PASS DEF,FF,FUMR,FUMR YDS,FUMR TD,INT,INT YDS,INT TD
"Darius Leonard",85,"IND","15","161","111","50","16.5","7","48","8","8","4","2",0,0,"2","38",0
"Blake Martinez",76,"GB","16","143","93","50","10","5","34","6","3",0,0,0,0,0,0,0
"Leighton Vander Esch",84,"DAL","16","141","103","38","3",0,0,"1","7",0,0,0,0,"2","56",0
"Bobby Wagner",97,"SEA","15","137","82","55","6","1","9","7","10","2","1","11",0,"1","98","1"
"Anthony Hitchens",79,"KC","15","137","82","55","6.5",0,0,"1",0,"1",0,0,0,0,0,0
"Telvin Smith",90,"JAX","16","133","100","33","5.5","1","9","3","2","1","1","5",0,"2","33","1"
"Mason Foster",85,"WAS","16","134","85","49","4","1","7","1","4","1","2",0,0,"2","4",0
"Luke Kuechly",99,"CAR","16","131","93","38","24","2","8","5","6","2","1",0,0,"1",0,0
"Tahir Whitehead",77,"OAK","16","124","87","37","8",0,0,"1","5","1",0,0,0,"1",0,0
"Cory Littleton",73,"LAR","16","125","91","34","9","4","43","4","13",0,0,0,0,"3","48","1"
"Kiko Alonso",75,"MIA","15","125","81","44","3",0,0,"3","6","3","1",0,0,"3","30",0
"Fred Warner",74,"SF","16","123","84","39","4",0,0,"2","6","1","1",0,0,0,0,0
"Roquan Smith",83,"CHI","16","122","89","33","8","5","37","5","4",0,0,0,0,"1","22",0
"Avery Williamson",87,"NYJ","16","121","78","43","5.5","2.5","17.5","4","6","2","1",0,0,"1","36",0
"Jaylon Smith",83,"DAL","16","122","84","38","7.5","4","6","6","4","3","2","69","1",0,0,0
"Tremaine Edmunds",76,"BUF","15","121","80","41","5.5","2","4","7","11","2",0,0,0,"2","19",0
"Antoine Bethea",76,"ARI","16","121","100","21","5","3","21","6","4","1",0,0,0,0,0,0
"John Johnson",84,"LAR","16","117","81","36","3.5",0,0,"2","11","1",0,0,0,"4","46",0
"Lavonte David",89,"TB","14","119","95","24","14","3.5","14.5","7","2","1","2",0,0,0,0,0
"Jamal Adams",91,"NYJ","16","114","85","29","11.5","3.5","25","8","12","3","1","5",0,"1","38",0
"Todd Davis",74,"DEN","16","113","81","32","6","0.5",0,"5","7",0,0,0,0,"1","20","1"
"Wesley Woodyard",80,"TEN","14","111","70","41","5.5","4.5","29.5","7","2",0,"1",0,0,0,0,0
"Jessie Bates III",79,"CIN","16","110","73","37",0,0,0,0,"8",0,0,0,0,"3","42","1"
"Shawn Williams",78,"CIN","16","108","79","29","2","1",0,"2","10","1",0,0,0,"5","131","1"
"Demario Davis",84,"NO","16","110","74","36","12.5","5","43","12","4","2","1",0,0,0,0,0
"Eric Kendricks",76,"MIN","14","108","63","45","6","1","12","1","6","1","1",0,0,"2","3",0
"Myles Jack",85,"JAX","16","107","75","32","2.5","2.5","15","4","1","1","1",0,0,"1","32","1"
"Zach Cunningham",74,"HOU","14","107","73","34","3.5",0,0,"1","5","2","1",0,0,"1","38","1"
"Derwin James",90,"LAC","16","105","75","30","4.5","3.5","22","6","13",0,0,0,0,"3","30",0
"Raekwon McMillan",76,"MIA","16","104","71","33","6.5",0,0,0,"1","2","1",0,0,0,0,0
"Benardrick McKinney",85,"HOU","16","105","64","41","6","1.5","7.5","5","7","1",0,0,0,"1",0,0
"CJ Mosley",88,"BAL","15","106","71","35","7","0.5","0.5","2","5",0,0,0,0,"1",0,0
