
      NAME,RTG,TEAM,GP,ATT,YDS,YDS/ATT,ATT/G,100+ YDS,TD,LONG,FUM,FUML
"Spencer Ware",83,"KC","3","17","51","3","5.7",0,0,"6","1",0
"DJ Foster",60,"ARI","1",0,0,0,0,0,0,0,0,0
"Rod Smith",65,"OAK","6",0,0,0,0,0,0,0,0,0
"Trey Edmunds",60,"PIT","11","22","92","4.2","2",0,0,"45",0,0
"Jeremy McNichols",69,"JAX","1",0,0,0,0,0,0,0,0,0
"Tra Carson",59,"DET","3","18","48","2.7","6",0,0,"12",0,0
"D'Ernest Johnson","","CLE","16","4","21","5.2","0.2",0,0,"13",0,0
"Dwayne Washington",67,"NO","15","8","60","7.5","0.5",0,0,"31",0,0
"Josh Ferguson",59,"WAS","2","3","9","3","1.5",0,0,"7",0,0
"Bo Scarbrough",68,"DET","6","89","377","4.2","14.8",0,"1","30","1","1"
"Robert Turbin",78,"SEA","1",0,0,0,0,0,0,0,0,0
"Reggie Bonnafon",67,"CAR","13","16","116","7.2","1.2",0,"1","59",0,0
"Marshawn Lynch",84,"SEA","1","12","34","2.8","12",0,"1","15",0,0
"Austin Walter",76,"NYG","1",0,0,0,0,0,0,0,0,0
"Boston Scott",67,"PHI","11","61","245","4","5.5",0,"5","25","4","1"
"Kareem Hunt",89,"CLE","8","43","179","4.2","5.4",0,"2","16","1",0
"Javorius Allen",74,"NYG","10","10","36","3.6","1",0,"1","19",0,0
"Jonathan Hilliman",71,"NYG","3","30","91","3","10",0,0,"10","2","2"
"Dalyn Dawkins",68,"TEN","2","11","26","2.4","5.5",0,0,"14",0,0
"Jay Ajayi",86,"PHI","3","10","30","3","3.3",0,0,"11",0,0
"Khari Blasingame",77,"TEN","6",0,0,0,0,0,0,0,0,0
"John Kelly",65,"LAR","4","3","9","3","0.8",0,0,"6",0,0
"De'Lance Turner",69,"MIA","8","4","6","1.5","0.5",0,0,"5",0,0
"Tony Brooks-James",74,"PIT","3","8","7","0.9","2.7",0,0,"8",0,0
"Ricky Ortiz",68,"NO","1",0,0,0,0,0,0,0,0,0
"Jeffery Wilson",65,"SF","10","27","105","3.9","2.7",0,"4","25",0,0
"Ryan Nall",67,"CHI","8","2","8","4","0.2",0,0,"7",0,0
