
      NAME,RTG,TEAM,GP,ATT,YDS,YDS/ATT,ATT/G,100+ YDS,TD,LONG,FUM,FUML
"Robert Turbin",78,"IND","2","4","10","2.5","2",0,0,"5","1","1"
"Roc Thomas",65,"MIN","5","8","30","3.8","1.6",0,0,"23",0,0
"Jeffery Wilson",65,"SF","6","66","266","4","11",0,0,"18","3","2"
"Kenjon Barner",72,"CAR","9","19","71","3.7","2.1",0,0,"11","1",0
"Boston Scott",67,"PHI","1",0,0,0,0,0,0,0,0,0
"Mark Ingram",87,"NO","12","138","645","4.7","11.5","2","6","38","3","1"
"Matt Dayes",67,"SF","6",0,0,0,0,0,0,0,0,0
"D'Onta Foreman",77,"HOU","1","7","-1","-0.1","7",0,0,"2","1",0
"De'Angelo Henderson",67,"NYJ","1","2","19","9.5","2",0,0,"13","1","1"
"David Williams",67,"JAX","3","8","36","4.5","2.7",0,0,"15",0,0
"Gus Edwards",73,"BAL","11","137","718","5.2","12.5","3","2","43",0,0
"Samaje Perine",72,"WAS","5","8","32","4","1.6",0,0,"11",0,0
"Dwayne Washington",67,"NO","6","27","154","5.7","4.5","1",0,"28",0,0
"Cameron Artis-Payne",69,"CAR","9","19","69","3.6","2.1",0,"1","15",0,0
"Travaris Cadet",72,"CAR","1","11","17","1.5","11",0,0,"5",0,0
"JD McKissic",75,"SEA","5","3","8","2.7","0.6",0,0,"6",0,0
"De'Lance Turner",69,"BAL","4","1","4","4","0.2",0,0,"4",0,0
"Elijhaa Penny",62,"NYG","12","7","25","3.6","0.6",0,0,"8",0,0
"Jamaal Charles",82,"JAX","2","6","7","1.2","3",0,0,"5",0,0
"Dontrell Hilliard",65,"CLE","11",0,0,0,0,0,0,0,0,0
"Kalen Ballage",72,"MIA","12","36","191","5.3","3","1","1","75","1","1"
"Dare Ogunbowale",68,"TB","2",0,0,0,0,0,0,0,0,0
"Jeremy McNichols",69,"IND","1","2","4","2","2",0,0,"7",0,0
"Darrel Williams",66,"KC","4","13","44","3.4","3.2",0,0,"8",0,0
"Brian Hill",73,"ATL","9","20","157","7.8","2.2","1",0,"60","1","1"
"Mike Boone",65,"MIN","8","11","47","4.3","1.4",0,0,"20",0,0
"Justin Jackson",75,"LAC","9","50","206","4.1","5.6",0,"2","20",0,0
"Zach Zenner",75,"DET","8","55","265","4.8","6.9",0,"3","29",0,0
"Aaron Jones",81,"GB","12","133","729","5.5","11.1","1","8","67","1","1"
"Taquan Mizzell",62,"CHI","9","9","16","1.8","1",0,0,"7",0,0
"Ameer Abdullah",75,"MIN","10","1","1","1","0.1",0,0,"1","1","1"
"Josh Adams",70,"PHI","13","120","511","4.3","9.2",0,"3","29","1","1"
"Keith Ford",67,"BUF","2","21","79","3.8","10.5",0,0,"11",0,0
"TJ Logan",72,"ARI","10","2","2","1","0.2",0,0,"5",0,0
"Mark Walton",68,"CIN","14","14","34","2.4","1",0,0,"10",0,0
"Trey Edmunds",60,"PIT","4",0,0,0,0,0,0,0,0,0
"Kapri Bibbs",68,"GB","12","21","103","4.9","1.8",0,"3","15","1",0
"Sony Michel",82,"NE","13","209","931","4.5","16.1","4","6","34","1","1"
"Ronald Jones II",77,"TB","9","23","44","1.9","2.6",0,"1","9",0,0
"Jeremy Langford",73,"ATL","1","9","25","2.8","9",0,0,"7",0,0
"Byron Marshall",65,"WAS","6","3","9","3","0.5",0,0,"4",0,0
"Brandon Wilds",66,"JAX","3","6","15","2.5","2",0,0,"5",0,0
"Marlon Mack",84,"IND","12","195","908","4.7","16.2","4","9","49","2","2"
"Elijah McGuire",70,"NYJ","8","92","276","3","11.5",0,"3","34","2","2"
"Mike Davis",76,"SEA","15","112","514","4.6","7.5","1","4","37",0,0
"Thomas Rawls",82,"CIN","1",0,0,0,0,0,0,0,0,0
"Charcandrick West",77,"KC","3","2","-1","-0.5","0.7",0,0,"1",0,0
"Todd Gurley",95,"LAR","14","256","1,251","4.9","18.3","6","17","36","1","1"
"Devonta Freeman",88,"ATL","2","14","68","4.9","7",0,0,"20",0,0
"Kareem Hunt",89,"KC","11","181","824","4.6","16.5","1","7","45",0,0
"David Johnson",89,"ARI","16","258","940","3.6","16.1","1","7","53","3","2"
"Ezekiel Elliott",96,"DAL","15","304","1,435","4.7","20.3","7","6","41","6","2"
"Alvin Kamara",88,"NO","15","194","883","4.6","12.9","1","14","49","1",0
"LeSean McCoy",83,"BUF","14","161","514","3.2","11.5","1","3","28",0,0
"Christian McCaffrey",92,"CAR","16","219","1,098","5","13.7","4","7","59","4","1"
"Jay Ajayi",86,"PHI","4","45","184","4.1","11.2",0,"3","20","1","1"
"Dion Lewis",86,"TEN","16","155","517","3.3","9.7",0,"1","36","1","1"
"Leonard Fournette",80,"JAX","8","133","439","3.3","16.6",0,"5","25",0,0
"Melvin Gordon",90,"LAC","12","175","885","5.1","14.6","3","10","34","1",0
"Jordan Howard",81,"CHI","16","250","935","3.7","15.6","2","9","42","1","1"
"Dalvin Cook",87,"MIN","11","133","615","4.6","12.1","1","2","70","2","2"
"Derrick Henry",85,"TEN","16","215","1,059","4.9","13.4","2","12","99","1","1"
"Marshawn Lynch",84,"OAK","6","90","376","4.2","15","1","3","52",0,0
"Tevin Coleman",82,"ATL","16","167","800","4.8","10.4","2","4","65","2",0
"Theo Riddick",74,"DET","14","40","171","4.3","2.9",0,0,"19",0,0
"Lamar Miller",86,"HOU","14","210","973","4.6","15","4","5","97","1","1"
"James White",84,"NE","16","94","425","4.5","5.9",0,"5","27",0,0
"Tarik Cohen",83,"CHI","16","99","441","4.5","6.2",0,"3","32","7","3"
"Darren Sproles",78,"PHI","6","29","120","4.1","4.8",0,"1","17",0,0
"Jonathan Stewart",82,"NYG","3","6","17","2.8","2",0,0,"5",0,0
