
      NAME,RTG,TEAM,GP,TGT,REC,TGT/G,YDS,100+ YDS,YDS/REC,TD,LONG,FUM,FUML
"Tanner Hudson",69,"TB","9","5","2","0.6","26",0,"13",0,"14",0,0
"Jason Vander Laan",66,"NO","2","1",0,"0.5",0,0,0,0,0,0,0
"Garrett Dickerson",68,"NYG","3",0,0,0,0,0,0,0,0,0,0
"Ross Travis",60,"NYJ","3","6","4","2","51",0,"12.8",0,"25","1","1"
"Eric Saubert",69,"CHI","2","3","2","1.5","21",0,"10.5",0,"11",0,0
"Jaeden Graham",69,"ATL","14","10","9","0.7","149",0,"16.6","1","53",0,0
"Ben Koyack",75,"JAX","11","3","1","0.3","9",0,"9",0,"9",0,0
"Jacob Hollister",69,"SEA","11","59","41","5.4","349",0,"8.5","3","22",0,0
"Tyler Kroft",80,"BUF","10","14","6","1.4","71",0,"11.8","1","20",0,0
"Isaac Nauta",70,"DET","6","3","2","0.5","13",0,"6.5",0,"10",0,0
"Daniel Brunskill",68,"SF","13",0,0,0,0,0,0,0,0,0,0
"Stephen Anderson",64,"LAC","1",0,0,0,0,0,0,0,0,0,0
"Charles Jones II",73,"JAX","4","1","1","0.2","5",0,"5",0,"5",0,0
"Luke Willson",76,"SEA","8","10","8","1.2","79",0,"9.9",0,"17",0,0
"Kendall Blanton",76,"LAR","1",0,0,0,0,0,0,0,0,0,0
"Benjamin Watson",83,"NE","10","24","17","2.4","173",0,"10.2",0,"26",0,0
"Evan Baylis",67,"GB","2",0,0,0,0,0,0,0,0,0,0
"Clive Walford",74,"MIA","7","8","4","1.1","57",0,"14.2",0,"19",0,0
"Carson Meier",70,"ATL","1",0,0,0,0,0,0,0,0,0,0
"Joshua Perkins",73,"PHI","5","13","9","2.6","87",0,"9.7","1","24",0,0
"Chris Herndon IV",66,"NYJ","1","2","1","2","7",0,"7",0,"7",0,0
"Darrell Daniels",60,"ARI","11","3","1","0.3","4",0,"4",0,"4",0,0
"Stephen Carlson",70,"CLE","9","7","5","0.8","51",0,"10.2","1","21",0,0
"Mason Schreck",66,"CIN","2",0,0,0,0,0,0,0,0,0,0
"Dan Arnold",69,"ARI","5","14","8","2.8","127",0,"15.9","2","37",0,0
"Jordan Thomas",69,"HOU","4","3","1","0.8","8",0,"8",0,"8",0,0
"Tyrone Swoopes",69,"SEA","5","1","1","0.2","5",0,"5",0,"5",0,0
"Jesper Horsted",71,"CHI","6","10","8","1.7","87",0,"10.9","1","20","1","1"
"Jace Sternberger",71,"GB","6","1",0,"0.2",0,0,0,0,0,0,0
"Jerome Cunningham",67,"WAS","2",0,0,0,0,0,0,0,0,0,0
"Matt Lengel",70,"IND","1",0,0,0,0,0,0,0,0,0,0
"Travis Kelce",94,"KC","16","136","97","8.5","1,229","2","12.7","5","47","1","1"
"Delanie Walker",91,"TEN","7","31","21","4.4","215",0,"10.2","2","29","1",0
"George Kittle",91,"SF","14","107","85","7.6","1,053","3","12.4","5","61","1",0
"Zach Ertz",91,"PHI","15","135","88","9","916","1","10.4","6","30","1","1"
"Tyler Eifert",89,"CIN","16","63","43","3.9","436",0,"10.1","3","27",0,0
"Jared Cook",89,"NO","14","65","43","4.6","705",0,"16.4","9","61",0,0
"Hunter Henry",88,"LAC","12","76","55","6.3","652","1","11.9","5","30","1","1"
"Greg Olsen",88,"CAR","14","82","52","5.9","597","1","11.5","2","41",0,0
"Austin Hooper",87,"ATL","13","97","75","7.5","787","2","10.5","6","35",0,0
"Kyle Rudolph",87,"MIN","16","48","39","3","367",0,"9.4","6","32",0,0
"Jack Doyle",86,"IND","16","72","43","4.5","448",0,"10.4","4","23","1",0
"Trey Burton",86,"CHI","8","25","14","3.1","84",0,"6",0,"16",0,0
"Eric Ebron",85,"IND","11","52","31","4.7","375",0,"12.1","3","48",0,0
