
      NAME,RTG,TEAM,GP,TGT,REC,TGT/G,YDS,100+ YDS,YDS/REC,TD,LONG,FUM,FUML
"Marvin Hall",65,"DET","9","11","7","1.2","261",0,"37.3","1","58",0,0
"Ventell Bryant",75,"DAL","12","1","1","0.1","15",0,"15","1","15",0,0
"Rashard Davis",69,"TEN","1","1","1","1","16",0,"16",0,"16",0,0
"Krishawn Hogan",69,"NO","7","1","1","0.1","4",0,"4",0,"4",0,0
"Vyncint Smith",65,"NYJ","13","31","17","2.4","225",0,"13.2",0,"37","1","1"
"Darvin Kidsy",66,"WAS","3",0,0,0,0,0,0,0,0,0,0
"Jalen Guyton",73,"LAC","3","2",0,"0.7",0,0,0,0,0,0,0
"Golden Tate",86,"NYG","11","85","49","7.7","676","1","13.8","6","64","1","1"
"Diontae Spencer","","DEN","16","8","6","0.5","31",0,"5.2",0,"20","3","1"
"CJ Board",65,"JAX","4","4","2","1","31",0,"15.5",0,"23",0,0
"Malik Turner",67,"SEA","14","22","15","1.6","245",0,"16.3","1","33",0,0
"Jeff Smith",77,"NYJ","1","2","1","2","12",0,"12",0,"12",0,0
"Allen Lazard",65,"GB","12","52","35","4.3","477","1","13.6","3","43",0,0
"D'Haquille Williams","","BUF","1","4","4","4","29",0,"7.2","1","11",0,0
"Tevin Jones",69,"PIT","5","11","4","2.2","61",0,"15.2",0,"28",0,0
"Chad Williams",74,"IND","1","1",0,"1",0,0,0,0,0,0,0
"Auden Tate",65,"CIN","12","81","40","6.8","575",0,"14.4","1","33","1","1"
"Da'mari Scott",65,"NYG","5","3","2","0.6","22",0,"11",0,"11",0,0
"Trenton Irwin",76,"CIN","1",0,0,0,0,0,0,0,0,0,0
"N'Keal Harry",73,"NE","7","24","12","3.4","105",0,"8.8","2","18",0,0
"Isaiah Ford",68,"MIA","8","35","23","4.4","244",0,"10.6",0,"28",0,0
"Cyril Grayson",66,"TB","2","1","1","0.5","3",0,"3",0,"3",0,0
"Ashton Dulin",74,"IND","13","2","2","0.2","17",0,"8.5",0,"13",0,0
"Jason Moore",74,"LAC","10","5","2","0.5","43",0,"21.5",0,"32",0,0
"Keelan Doss",73,"OAK","6","14","11","2.3","133",0,"12.1",0,"31",0,0
"Michael Walker",72,"JAX","7","3","2","0.4","15",0,"7.5",0,"9","2","2"
"Greg Dortch",73,"CAR","2",0,0,0,0,0,0,0,0,"1","1"
"Deante Burton",68,"DAL","3",0,0,0,0,0,0,0,0,0,0
"Jaydon Mickens",68,"TB","1",0,0,0,0,0,0,0,0,0,0
