
      NAME,RTG,TEAM,GP,TGT,REC,TGT/G,YDS,100+ YDS,YDS/REC,TD,LONG,FUM,FUML
"Antonio Brown",99,"PIT","14","162","101","11.6","1,533","8","204.7","9","57","4",0
"Julio Jones",97,"ATL","16","148","88","9.2","1,444","4","260.2","3","53",0,0
"Odell Beckham Jr",97,"NYG","4","41","25","10.2","302",0,"50.1","3","48",0,0
"Larry Fitzgerald",85,"ARI","16","161","109","10.1","1,156","4","160.9","6","37","1","1"
"AJ Green",91,"CIN","16","144","75","9","1,078","3","217.1","8","77","2","2"
"Doug Baldwin",87,"SEA","16","116","75","7.2","991","2","220.7","8","54",0,0
"Brandin Cooks",89,"NE","16","114","65","7.1","1,082","2","278.3","7","64",0,0
"DeAndre Hopkins",97,"HOU","15","174","96","11.6","1,378","5","217.2","13","72","1","1"
"Keenan Allen",94,"LAC","16","159","102","9.9","1,393","7","220.6","6","51","1",0
"Dez Bryant",93,"DAL","16","132","69","8.2","838",0,"215.2","6","50","1","1"
"Jordy Nelson",89,"GB","15","88","53","5.9","482",0,"129.6","6","58",0,0
"Mike Evans",93,"TB","15","136","71","9.1","1,001","1","220.4","5","42","1",0
"T.Y. Hilton",92,"IND","16","109","57","6.8","966","4","239","4","80","2","1"
"Tyreek Hill",93,"KC","15","105","75","7","1,183","4","248.8","7","79","2",0
"Demaryius Thomas",80,"DEN","16","140","83","8.8","949","1","178.9","5","40","1","1"
"Stefon Diggs",92,"MIN","14","95","64","6.8","849","1","175","8","59",0,0
"Golden Tate",86,"DET","16","120","92","7.5","1,003","3","165.1","5","71","1","1"
"Emmanuel Sanders",89,"DEN","12","92","47","7.7","555","1","147.2","2","38",0,0
"Jarvis Landry",82,"MIA","16","161","112","10.1","987",0,"144","9","49","4","2"
"Amari Cooper",87,"OAK","14","96","48","6.9","680","2","166.5","7","87","1",0
"Allen Robinson",85,"JAX","1","1","1","1","17",0,"17",0,"17",0,0
"Davante Adams",94,"GB","14","117","74","8.4","885","1","168.9","10","55",0,0
"Michael Crabtree",81,"OAK","14","101","58","7.2","618",0,"125.6","8","41","1",0
"Kelvin Benjamin",87,"BUF","14","78","48","5.6","692","1","212.2","3","43",0,0
"Michael Thomas",94,"NO","16","149","104","9.3","1,245","2","191.6","5","43",0,0
"Chris Hogan",79,"NE","9","59","34","6.6","439",0,"111.6","5","47",0,0
"Devante Parker",80,"MIA","13","96","57","7.4","670",0,"139","1","36","1",0
"Brandon Marshall",83,"NYG","5","33","18","6.6","154",0,"50.4",0,"18",0,0
"Eric Decker",84,"TEN","16","83","54","5.2","563",0,"148.8","1","29",0,0
"Jamison Crowder",77,"WAS","15","103","66","6.9","789","2","156.1","3","41","6","3"
"Adam Thielen",93,"MIN","16","143","91","8.9","1,276","4","217.8","4","65","3","2"
"Alshon Jeffery",88,"PHI","16","120","57","7.5","789",0,"214.1","9","53",0,0
"Taylor Gabriel",83,"ATL","16","51","33","3.2","378",0,"144.4","1","40",0,0
"Jermaine Kearse",77,"NYJ","16","102","65","6.4","810","2","201.6","5","51","1",0
"Corey Davis",81,"TEN","11","65","34","5.9","375",0,"100.5",0,"37","1","1"
"Sterling Shepard",83,"NYG","11","84","59","7.6","731","3","131.8","2","77","1",0
"Tyler Lockett",86,"SEA","16","71","45","4.4","555","1","167.1","2","74",0,0
"Rishard Matthews",84,"TEN","14","87","53","6.2","795","1","204.3","4","75",0,0
"Randall Cobb",82,"GB","15","92","66","6.1","653",0,"142.7","4","46","1",0
"DeSean Jackson",87,"TB","14","90","50","6.4","668","1","185.7","3","41",0,0
"Pierre Garcon",87,"SF","8","67","40","8.4","500","1","92.6",0,"59",0,0
"JuJu Smith-Schuster",89,"PIT","14","79","58","5.6","917","3","195.6","7","97",0,0
"Terrelle Pryor",72,"WAS","9","37","20","4.1","240",0,"82.5","1","44",0,0
"Will Fuller",80,"HOU","10","50","28","5","423","1","152.8","7","59",0,0
"Allen Hurns",74,"JAX","10","56","39","5.6","484","1","120.9","2","50",0,0
"Taywan Taylor",77,"TEN","16","28","16","1.8","231",0,"131","1","53",0,0
"Devin Funchess",81,"CAR","16","111","63","6.9","840","1","219.2","8","44",0,0
"Martavis Bryant",78,"PIT","15","84","50","5.6","603",0,"189.1","3","51",0,0
"Mike Wallace",84,"BAL","15","92","52","6.1","748","2","206.9","4","66",0,0
"Travis Benjamin",77,"LAC","16","65","34","4.1","567","1","216.8","4","62","2",0
"John Ross",75,"CIN","3","2",0,"0.7",0,0,0,0,0,"1","1"
"Marqise Lee",78,"JAX","14","96","56","6.9","702",0,"161.1","3","45","1",0
"Corey Coleman",74,"CLE","9","57","23","6.3","305",0,"103.6","2","44",0,0
"Kenny Stills",82,"MIA","16","105","58","6.6","847","1","213.5","6","61","4","2"
"Donte Moncrief",77,"IND","12","47","26","3.9","391",0,"220.5","2","60",0,0
"Jordan Matthews",73,"BUF","10","36","25","3.6","282",0,"121","1","47","1","1"
"Brandon LaFell",80,"CIN","16","89","52","5.6","548",0,"174.3","3","45","1",0
"Ted Ginn",81,"NO","15","70","53","4.7","787","1","217.2","4","54","2",0
"Marvin Jones",88,"DET","16","107","61","6.7","1,101","3","306.5","9","58",0,0
