,NAME,AST,AST_rank
0,Bobby Wagner,70,1.0
4,Luke Kuechly,64,2.0
10,KJ Wright,63,3.0
1,Blake Martinez,57,4.5
6,Jaylon Smith,57,4.5
2,Jordan Hicks,56,6.0
12,De'Vondre Campbell,54,7.0
7,Todd Davis,53,8.0
19,Tremaine Edmunds,50,9.5
13,Jerome Baker,50,9.5
40,Benardrick McKinney,49,12.0
25,Nick Vigil,49,12.0
16,Darius Leonard,49,12.0
8,Cory Littleton,47,14.5
37,Jon Bostic,47,14.5
22,Thomas Davis,46,16.0
9,Joe Schobert,43,18.0
5,Zach Cunningham,43,18.0
3,Budda Baker,43,18.0
23,Rashaan Evans,42,20.5
26,Deion Jones,42,20.5
14,Anthony Walker,41,22.0
28,Eric Kendricks,40,24.0
15,Lavonte David,40,24.0
21,Logan Ryan,40,24.0
18,Landon Collins,39,26.0
50,Anthony Hitchens,38,27.5
31,Eric Weddle,38,27.5
45,Alexander Johnson,37,30.0
91,Davon Godchaux,37,30.0
33,Jordan Poyer,37,30.0
36,Jayon Brown,36,32.5
29,Devin Bush,36,32.5
39,Matt Milano,35,34.0
35,Terrell Edmunds,34,36.0
41,Taylor Rapp,34,36.0
96,Raekwon McMillan,34,36.0
30,Shaq Thompson,33,40.0
55,Kenny Vaccaro,33,40.0
94,Markus Golden,33,40.0
20,Shawn Williams,33,40.0
11,Eric Reid,33,40.0
34,Cole Holcomb,32,43.5
42,Roquan Smith,32,43.5
57,Cameron Heyward,31,49.0
70,Chidobe Awuzie,31,49.0
52,Ricardo Allen,31,49.0
51,Sean Lee,31,49.0
107,Grady Jarrett,31,49.0
67,Alec Ogletree,31,49.0
163,Vince Biegel,31,49.0
81,Haason Reddick,31,49.0
48,Devin White,31,49.0
32,Tahir Whitehead,30,56.5
182,Tyeler Davison,30,56.5
146,Kenny Clark,30,56.5
68,James Burgess,30,56.5
58,David Mayo,30,56.5
76,Rodney McLeod,30,56.5
97,Leighton Vander Esch,29,63.0
43,Jessie Bates III,29,63.0
87,Neville Hewitt,29,63.0
153,Nigel Bradham,29,63.0
