,NAME,FUMR,FUMR_rank
83,Matt Milano,3,1.5
147,Marshon Lattimore,3,1.5
0,Darius Leonard,2,13.0
56,Justin Reid,2,13.0
66,Devin McCourty,2,13.0
74,Jabrill Peppers,2,13.0
50,Kyle Van Noy,2,13.0
78,Thomas Davis,2,13.0
90,Brian Poole,2,13.0
93,Eli Apple,2,13.0
36,Budda Baker,2,13.0
34,Joe Schobert,2,13.0
112,AJ Klein,2,13.0
151,Aaron Donald,2,13.0
18,Lavonte David,2,13.0
153,Ndamukong Suh,2,13.0
62,Harrison Smith,2,13.0
14,Jaylon Smith,2,13.0
167,Mike Hilton,2,13.0
197,Denzel Ward,2,13.0
6,Mason Foster,2,13.0
185,Kenny Clark,2,13.0
178,Justin Coleman,2,13.0
152,Marcus Williams,1,56.0
173,Da'ron Payne,1,56.0
175,Corey Graham,1,56.0
89,Jahleel Addae,1,56.0
82,Lamarcus Joyner,1,56.0
81,Brad McDougald,1,56.0
76,Tre Boston,1,56.0
94,Josh Bynes,1,56.0
75,Pierre Desir,1,56.0
186,Tramon Williams,1,56.0
68,Damon Harrison,1,56.0
189,Patrick Peterson,1,56.0
65,Nick Vigil,1,56.0
64,Patrick Chung,1,56.0
79,Terrell Edmunds,1,56.0
96,Travis Carrie,1,56.0
97,Tony Jefferson,1,56.0
101,Adrian Amos,1,56.0
158,Jason Pierre-Paul,1,56.0
160,Micah Hyde,1,56.0
146,Bradley Chubb,1,56.0
143,Darian Stewart,1,56.0
136,BJ Goodson,1,56.0
134,Desmond King,1,56.0
133,Jurrell Casey,1,56.0
130,Demarcus Lawrence,1,56.0
129,Josh Norman,1,56.0
122,Tre Flowers,1,56.0
63,Damarious Randall,1,56.0
119,Darqueze Dennard,1,56.0
161,Buster Skrine,1,56.0
105,Danielle Hunter,1,56.0
104,Calais Campbell,1,56.0
166,Linval Joseph,1,56.0
103,Lorenzo Alexander,1,56.0
154,Justin Evans,1,56.0
121,Deforest Buckner,1,56.0
199,Preston Smith,1,56.0
26,Myles Jack,1,56.0
32,Anthony Walker,1,56.0
33,Jamie Collins,1,56.0
35,Danny Trevathan,1,56.0
37,Jordan Poyer,1,56.0
11,Fred Warner,1,56.0
38,Jarrad Davis,1,56.0
39,Malcolm Jenkins,1,56.0
13,Avery Williamson,1,56.0
7,Luke Kuechly,1,56.0
42,Jayon Brown,1,56.0
5,Telvin Smith,1,56.0
10,Kiko Alonso,1,56.0
44,Nigel Bradham,1,56.0
19,Jamal Adams,1,56.0
3,Bobby Wagner,1,56.0
29,Raekwon McMillan,1,56.0
49,Ha'Sean Clinton-Dix,1,56.0
58,Kareem Jackson,1,56.0
57,Vonn Bell,1,56.0
21,Wesley Woodyard,1,56.0
52,Jordan Hicks,1,56.0
27,Zach Cunningham,1,56.0
54,Tyrann Mathieu,1,56.0
60,TJ McDonald,1,56.0
24,Demario Davis,1,56.0
