,NAME,INT,INT_rank
49,Kevin Byard,8,1.5
154,Darius Slay,8,1.5
137,Eric Weddle,6,3.5
174,AJ Bouye,6,3.5
79,Harrison Smith,5,7.0
74,Tre Boston,5,7.0
62,Micah Hyde,5,7.0
34,Jordan Poyer,5,7.0
170,Antoine Bethea,5,7.0
91,Barry Church,4,13.5
73,DJ Swearinger,4,13.5
111,Tre'Davious White,4,13.5
130,Tashaun Gipson,4,13.5
138,Jalen Ramsey,4,13.5
175,Brandon Carr,4,13.5
183,Kendall Fuller,4,13.5
99,Marcus Williams,4,13.5
129,Jason McCourty,3,26.0
44,Ryan Shazier,3,26.0
102,Andre Hal,3,26.0
4,Deion Jones,3,26.0
37,Sean Davis,3,26.0
53,Mark Barron,3,26.0
54,Glover Quin,3,26.0
195,Rodney McLeod,3,26.0
158,Kenny Vaccaro,3,26.0
135,Darian Stewart,3,26.0
128,Justin Evans,3,26.0
133,Jalen Mills,3,26.0
21,Telvin Smith,3,26.0
182,Quandre Diggs,3,26.0
122,Jeff Heath,3,26.0
25,Kwon Alexander,3,26.0
70,Ha'Sean Clinton-Dix,3,26.0
132,Daryl Worley,2,49.5
48,Earl Thomas,2,49.5
131,Trae Waynes,2,49.5
71,Craig Robertson,2,49.5
127,Trumaine Johnson,2,49.5
126,Ron Parker,2,49.5
116,Justin Simmons,2,49.5
120,Kyle Fuller,2,49.5
6,CJ Mosley,2,49.5
7,Bobby Wagner,2,49.5
123,Eric Reid,2,49.5
52,James Bradberry,2,49.5
51,Darqueze Dennard,2,49.5
69,Marcus Maye,2,49.5
76,Andrew Sendejo,2,49.5
179,Anthony Brown,2,49.5
20,Landon Collins,2,49.5
178,Xavier Rhodes,2,49.5
83,Tyrann Mathieu,2,49.5
188,Trevor Williams,2,49.5
93,Malcolm Jenkins,2,49.5
28,Matthias Farley,2,49.5
110,Mike Adams,2,49.5
12,Reshad Jones,2,49.5
98,Eddie Jackson,2,49.5
155,Mike Hilton,2,49.5
10,Luke Kuechly,2,49.5
153,Malcolm Butler,2,49.5
144,Adrian Phillips,2,49.5
140,Ray Ray Armstrong,2,49.5
107,Josh Jones,1,90.0
196,Ken Crawley,1,90.0
100,Hayes Pullard,1,90.0
194,K'Waun Williams,1,90.0
97,Kareem Jackson,1,90.0
104,John Johnson,1,90.0
186,Derrick Kindred,1,90.0
115,Adrian Amos,1,90.0
121,Robert Alford,1,90.0
185,Dre Kirkpatrick,1,90.0
192,TJ Watt,1,90.0
89,Desmond King,1,90.0
191,Ricardo Allen,1,90.0
141,Buster Skrine,1,90.0
142,Cameron Jordan,1,90.0
190,Artie Burns,1,90.0
163,EJ Gaines,1,90.0
167,Shaquill Griffin,1,90.0
172,Jabrill Peppers,1,90.0
187,Tavon Wilson,1,90.0
177,Marcus Gilchrist,1,90.0
193,Jourdan Lewis,1,90.0
87,Darian Thompson,1,90.0
0,Blake Martinez,1,90.0
199,Jaquiski Tartt,1,90.0
60,Patrick Chung,1,90.0
26,Devin McCourty,1,90.0
64,Deone Bucannon,1,90.0
46,Reggie Nelson,1,90.0
31,Karlos Dansby,1,90.0
22,Sean Lee,1,90.0
43,Daniel Sorensen,1,90.0
42,Vince Williams,1,90.0
67,Byron Jones,1,90.0
17,KJ Wright,1,90.0
16,Tahir Whitehead,1,90.0
29,Jarrad Davis,1,90.0
15,Eric Kendricks,1,90.0
75,Karl Joseph,1,90.0
72,George Iloka,1,90.0
32,Alec Ogletree,1,90.0
84,Damon Harrison,1,90.0
2,Joe Schobert,1,90.0
82,Chris Conte,1,90.0
13,Keanu Neal,1,90.0
8,NaVorro Bowman,1,90.0
81,Dontae Johnson,1,90.0
56,Vincent Rey,1,90.0
