,NAME,INT TD,INT TD_rank
127,Trumaine Johnson,1,10.5
133,Jalen Mills,1,10.5
129,Jason McCourty,1,10.5
54,Glover Quin,1,10.5
81,Dontae Johnson,1,10.5
137,Eric Weddle,1,10.5
21,Telvin Smith,1,10.5
67,Byron Jones,1,10.5
89,Desmond King,1,10.5
34,Jordan Poyer,1,10.5
15,Eric Kendricks,1,10.5
91,Barry Church,1,10.5
142,Cameron Jordan,1,10.5
32,Alec Ogletree,1,10.5
116,Justin Simmons,1,10.5
115,Adrian Amos,1,10.5
48,Earl Thomas,1,10.5
98,Eddie Jackson,1,10.5
6,CJ Mosley,1,10.5
51,Darqueze Dennard,1,10.5
148,Deforest Buckner,0,110.5
147,Jamar Taylor,0,110.5
134,Josh Norman,0,110.5
146,Paul Posluszny,0,110.5
135,Darian Stewart,0,110.5
145,Trey Flowers,0,110.5
143,Logan Ryan,0,110.5
138,Jalen Ramsey,0,110.5
139,Brian Poole,0,110.5
140,Ray Ray Armstrong,0,110.5
144,Adrian Phillips,0,110.5
136,Brock Coyle,0,110.5
141,Buster Skrine,0,110.5
0,Blake Martinez,0,110.5
131,Trae Waynes,0,110.5
108,Lorenzo Alexander,0,110.5
109,Budda Baker,0,110.5
110,Mike Adams,0,110.5
111,Tre'Davious White,0,110.5
112,Jason Pierre-Paul,0,110.5
113,Brad McDougald,0,110.5
114,Elandon Roberts,0,110.5
117,Morgan Burnett,0,110.5
118,Linval Joseph,0,110.5
119,Calais Campbell,0,110.5
120,Kyle Fuller,0,110.5
121,Robert Alford,0,110.5
122,Jeff Heath,0,110.5
123,Eric Reid,0,110.5
124,Vontaze Burfict,0,110.5
125,Tyvon Branch,0,110.5
126,Ron Parker,0,110.5
128,Justin Evans,0,110.5
130,Tashaun Gipson,0,110.5
132,Daryl Worley,0,110.5
149,Manti Te'o,0,110.5
153,Malcolm Butler,0,110.5
151,Shaq Thompson,0,110.5
177,Marcus Gilchrist,0,110.5
178,Xavier Rhodes,0,110.5
179,Anthony Brown,0,110.5
180,Kenny Clark,0,110.5
181,Cory James,0,110.5
182,Quandre Diggs,0,110.5
183,Kendall Fuller,0,110.5
184,Grady Jarrett,0,110.5
185,Dre Kirkpatrick,0,110.5
186,Derrick Kindred,0,110.5
187,Tavon Wilson,0,110.5
188,Trevor Williams,0,110.5
189,Michael Brockers,0,110.5
190,Artie Burns,0,110.5
191,Ricardo Allen,0,110.5
192,TJ Watt,0,110.5
193,Jourdan Lewis,0,110.5
194,K'Waun Williams,0,110.5
195,Rodney McLeod,0,110.5
196,Ken Crawley,0,110.5
197,Mike Mitchell,0,110.5
176,Melvin Ingram,0,110.5
150,Ryan Smith,0,110.5
175,Brandon Carr,0,110.5
173,Jonathan Cyprien,0,110.5
152,Jurrell Casey,0,110.5
107,Josh Jones,0,110.5
154,Darius Slay,0,110.5
155,Mike Hilton,0,110.5
156,Matt Judon,0,110.5
157,Nicholas Morrow,0,110.5
158,Kenny Vaccaro,0,110.5
159,Jadeveon Clowney,0,110.5
160,Demarcus Lawrence,0,110.5
161,Chandler Jones,0,110.5
162,Justin Houston,0,110.5
163,EJ Gaines,0,110.5
164,Zach Vigil,0,110.5
165,Bruce Irvin,0,110.5
166,Lawrence Guy,0,110.5
167,Shaquill Griffin,0,110.5
168,Deshazor Everett,0,110.5
169,Von Miller,0,110.5
170,Antoine Bethea,0,110.5
171,Calvin Munson,0,110.5
172,Jabrill Peppers,0,110.5
174,AJ Bouye,0,110.5
