,NAME,INT YDS,INT YDS_rank
88,Erik Harris,145,1.0
106,Minkah Fitzpatrick,130,2.0
73,Ha'Sean Clinton-Dix,96,3.0
16,Darius Leonard,92,4.0
60,Jamie Collins,85,5.0
152,Janoris Jenkins,84,6.0
56,Kevin Byard,79,7.0
142,Ross Cockrell,70,8.5
84,Tyrann Mathieu,70,8.5
101,Ronnie Harrison,66,10.0
149,Richard Sherman,65,11.0
2,Jordan Hicks,64,12.0
86,Jamal Adams,61,13.0
173,Tre'Davious White,57,14.0
191,Marcus Williams,56,15.0
75,Justin Reid,55,16.5
197,Justin Coleman,55,16.5
41,Taylor Rapp,54,18.5
117,Kevin King,54,18.5
90,Damontae Kazee,53,20.0
74,Nathan Gerry,51,21.0
168,Devin McCourty,49,22.0
47,Dre Greenlaw,47,23.0
166,Juan Thornhill,46,24.5
17,Fred Warner,46,24.5
159,Anthony Harris,42,26.0
77,Xavier Woods,38,27.0
59,Kyle Fuller,37,29.0
164,Jaire Alexander,37,29.0
193,Darnell Savage,37,29.0
155,Kenny Moore,36,31.0
65,Eric Rowe,35,32.0
13,Jerome Baker,34,33.5
25,Nick Vigil,34,33.5
43,Jessie Bates III,33,35.5
151,Steven Nelson,33,35.5
8,Cory Littleton,32,37.5
83,Jabrill Peppers,32,37.5
76,Rodney McLeod,30,39.5
46,Justin Simmons,30,39.5
52,Ricardo Allen,29,41.0
102,Kareem Jackson,28,42.0
26,Deion Jones,27,43.0
37,Jon Bostic,26,45.0
15,Lavonte David,26,45.0
4,Luke Kuechly,26,45.0
51,Sean Lee,25,47.5
126,AJ Bouye,25,47.5
9,Joe Schobert,24,49.0
143,Montae Nicholson,23,50.0
1,Blake Martinez,22,51.5
153,Nigel Bradham,22,51.5
61,Mack Wilson,21,53.0
111,Tre Boston,20,54.0
49,Vonn Bell,19,55.5
119,Joe Haden,19,55.5
158,Eddie Jackson,18,57.5
180,Jalen Thompson,18,57.5
21,Logan Ryan,16,59.0
150,Vernon Hargreaves,15,60.5
162,Brian Poole,15,60.5
108,AJ Klein,14,63.0
122,Marlon Humphrey,14,63.0
118,Myles Jack,14,63.0
87,Neville Hewitt,13,66.0
53,Harrison Smith,13,66.0
135,Darryl Roberts,13,66.0
92,Chuck Clark,12,69.0
20,Shawn Williams,12,69.0
54,Adrian Amos,12,69.0
183,Chris Harris,11,72.0
93,Nicholas Morrow,11,72.0
109,Jordan Whitehead,11,72.0
196,Rayshawn Jenkins,10,75.0
10,KJ Wright,10,75.0
89,Charvarius Ward,10,75.0
189,TJ Watt,7,78.0
163,Vince Biegel,7,78.0
27,Antoine Bethea,7,78.0
0,Bobby Wagner,6,81.0
29,Devin Bush,6,81.0
176,Daniel Sorensen,6,81.0
181,Preston Smith,5,84.0
147,Lawrence Guy,5,84.0
48,Devin White,5,84.0
165,Shaquil Barrett,4,87.0
78,Nick Kwiatkoski,4,87.0
69,Jarrod Wilson,4,87.0
68,James Burgess,2,91.0
171,Jahlani Tavai,2,91.0
55,Kenny Vaccaro,2,91.0
79,Levi Wallace,2,91.0
71,Anthony Barr,2,91.0
24,Demario Davis,1,95.0
123,Mike Hilton,1,95.0
100,Mychal Kendricks,1,95.0
134,Jeff Heath,0,148.0
186,Za'Darius Smith,0,148.0
187,Christian Wilkins,0,148.0
188,Lorenzo Alexander,0,148.0
190,Tre Herndon,0,148.0
141,Rock Ya-Sin,0,148.0
140,Isaiah Oliver,0,148.0
192,Vince Williams,0,148.0
139,Eric Wilson,0,148.0
138,Deforest Buckner,0,148.0
194,Preston Brown,0,148.0
137,Sheldon Richardson,0,148.0
136,Jarrad Davis,0,148.0
195,Matt Judon,0,148.0
144,Foyesade Oluokun,0,148.0
145,Danny Shelton,0,148.0
185,Da'ron Payne,0,148.0
161,Jomal Wiltz,0,148.0
167,Devon Kennard,0,148.0
169,Troy Reeder,0,148.0
170,Dante Fowler Jr,0,148.0
172,Daryl Worley,0,148.0
157,Javon Hargrave,0,148.0
156,Donald Payne,0,148.0
154,Damarious Randall,0,148.0
146,Kenny Clark,0,148.0
174,Eli Apple,0,148.0
177,Calais Campbell,0,148.0
178,Kyle Van Noy,0,148.0
179,Marshon Lattimore,0,148.0
182,Tyeler Davison,0,148.0
148,Deandre Baker,0,148.0
184,Ben Niemann,0,148.0
160,Carlton Davis,0,148.0
175,Trae Waynes,0,148.0
133,Carlos Dunlap,0,148.0
99,Khari Willis,0,148.0
131,Michael Brockers,0,148.0
63,Tre Flowers,0,148.0
62,Mark Barron,0,148.0
58,David Mayo,0,148.0
57,Cameron Heyward,0,148.0
50,Anthony Hitchens,0,148.0
45,Alexander Johnson,0,148.0
44,Tavon Wilson,0,148.0
42,Roquan Smith,0,148.0
40,Benardrick McKinney,0,148.0
39,Matt Milano,0,148.0
38,Tracy Walker,0,148.0
36,Jayon Brown,0,148.0
35,Terrell Edmunds,0,148.0
34,Cole Holcomb,0,148.0
33,Jordan Poyer,0,148.0
32,Tahir Whitehead,0,148.0
31,Eric Weddle,0,148.0
30,Shaq Thompson,0,148.0
28,Eric Kendricks,0,148.0
23,Rashaan Evans,0,148.0
22,Thomas Davis,0,148.0
19,Tremaine Edmunds,0,148.0
18,Landon Collins,0,148.0
14,Anthony Walker,0,148.0
11,Eric Reid,0,148.0
7,Todd Davis,0,148.0
6,Jaylon Smith,0,148.0
5,Zach Cunningham,0,148.0
3,Budda Baker,0,148.0
64,Damien Wilson,0,148.0
132,Xavier Rhodes,0,148.0
66,Malcolm Jenkins,0,148.0
70,Chidobe Awuzie,0,148.0
130,Matt Ioannidis,0,148.0
129,Jimmie Ward,0,148.0
128,Shaquill Griffin,0,148.0
127,Patrick Onwuasor,0,148.0
125,James Bradberry,0,148.0
124,Bobby Okereke,0,148.0
121,Joe Walker,0,148.0
120,Marcus Maye,0,148.0
116,Rashaan Melvin,0,148.0
115,Joey Bosa,0,148.0
114,Denzel Perryman,0,148.0
113,Jonathan Allen,0,148.0
112,Bud Dupree,0,148.0
110,Harold Landry,0,148.0
67,Alec Ogletree,0,148.0
107,Grady Jarrett,0,148.0
104,Brad McDougald,0,148.0
72,Byron Murphy,0,148.0
80,Germaine Pratt,0,148.0
81,Haason Reddick,0,148.0
82,Sam Hubbard,0,148.0
85,Drue Tranquill,0,148.0
105,Danny Trevathan,0,148.0
91,Davon Godchaux,0,148.0
95,Micah Hyde,0,148.0
96,Raekwon McMillan,0,148.0
97,Leighton Vander Esch,0,148.0
98,Dont'a Hightower,0,148.0
198,Arik Armstead,0,148.0
103,Danielle Hunter,0,148.0
94,Markus Golden,0,148.0
199,Clayton Geathers,0,148.0
12,De'Vondre Campbell,-5,200.0
