,NAME,PASS DEF,PASS DEF_rank
160,Carlton Davis,19,1.0
21,Logan Ryan,18,2.0
119,Joe Haden,17,3.5
164,Jaire Alexander,17,3.5
173,Tre'Davious White,16,5.5
152,Janoris Jenkins,16,5.5
46,Justin Simmons,15,7.0
117,Kevin King,14,9.5
179,Marshon Lattimore,14,9.5
122,Marlon Humphrey,14,9.5
70,Chidobe Awuzie,14,9.5
191,Marcus Williams,13,13.5
125,James Bradberry,13,13.5
84,Tyrann Mathieu,13,13.5
197,Justin Coleman,13,13.5
4,Luke Kuechly,12,18.0
59,Kyle Fuller,12,18.0
28,Eric Kendricks,12,18.0
128,Shaquill Griffin,12,18.0
24,Demario Davis,12,18.0
159,Anthony Harris,11,25.5
190,Tre Herndon,11,25.5
116,Rashaan Melvin,11,25.5
53,Harrison Smith,11,25.5
140,Isaiah Oliver,11,25.5
10,KJ Wright,11,25.5
111,Tre Boston,11,25.5
123,Mike Hilton,11,25.5
89,Charvarius Ward,11,25.5
149,Richard Sherman,11,25.5
92,Chuck Clark,10,32.0
72,Byron Murphy,10,32.0
102,Kareem Jackson,10,32.0
43,Jessie Bates III,9,39.5
109,Jordan Whitehead,9,39.5
106,Minkah Fitzpatrick,9,39.5
101,Ronnie Harrison,9,39.5
88,Erik Harris,9,39.5
56,Kevin Byard,9,39.5
79,Levi Wallace,9,39.5
188,Lorenzo Alexander,9,39.5
17,Fred Warner,9,39.5
6,Jaylon Smith,9,39.5
8,Cory Littleton,9,39.5
9,Joe Schobert,9,39.5
172,Daryl Worley,8,54.5
189,TJ Watt,8,54.5
63,Tre Flowers,8,54.5
39,Matt Milano,8,54.5
148,Deandre Baker,8,54.5
19,Tremaine Edmunds,8,54.5
151,Steven Nelson,8,54.5
142,Ross Cockrell,8,54.5
54,Adrian Amos,8,54.5
66,Malcolm Jenkins,8,54.5
52,Ricardo Allen,8,54.5
133,Carlos Dunlap,8,54.5
129,Jimmie Ward,8,54.5
175,Trae Waynes,8,54.5
36,Jayon Brown,8,54.5
126,AJ Bouye,8,54.5
38,Tracy Walker,8,54.5
65,Eric Rowe,8,54.5
15,Lavonte David,7,67.5
86,Jamal Adams,7,67.5
16,Darius Leonard,7,67.5
41,Taylor Rapp,7,67.5
60,Jamie Collins,7,67.5
61,Mack Wilson,7,67.5
168,Devin McCourty,7,67.5
134,Jeff Heath,7,67.5
150,Vernon Hargreaves,6,81.5
183,Chris Harris,6,81.5
170,Dante Fowler Jr,6,81.5
135,Darryl Roberts,6,81.5
132,Xavier Rhodes,6,81.5
120,Marcus Maye,6,81.5
154,Damarious Randall,6,81.5
