,NAME,QBH,QBH_rank
161,Chandler Jones,34,1.0
119,Calais Campbell,30,2.0
142,Cameron Jordan,29,3.0
145,Trey Flowers,26,4.5
160,Demarcus Lawrence,26,4.5
176,Melvin Ingram,23,7.0
105,Joey Bosa,23,7.0
169,Von Miller,23,7.0
148,Deforest Buckner,22,10.0
159,Jadeveon Clowney,22,10.0
77,Khalil Mack,22,10.0
152,Jurrell Casey,20,12.5
162,Justin Houston,20,12.5
156,Matt Judon,18,14.0
5,Demario Davis,15,15.0
42,Vince Williams,14,16.0
108,Lorenzo Alexander,13,18.5
165,Bruce Irvin,13,18.5
184,Grady Jarrett,13,18.5
112,Jason Pierre-Paul,13,18.5
7,Bobby Wagner,12,21.5
192,TJ Watt,12,21.5
118,Linval Joseph,10,23.0
96,Kyle Van Noy,9,25.0
11,Wesley Woodyard,9,25.0
30,Benardrick McKinney,9,25.0
155,Mike Hilton,8,27.5
189,Michael Brockers,8,27.5
180,Kenny Clark,7,31.0
85,Thomas Davis,7,31.0
43,Daniel Sorensen,7,31.0
2,Joe Schobert,7,31.0
33,Darron Lee,7,31.0
59,Vonn Bell,6,37.0
35,De'Vondre Campbell,6,37.0
95,James Burgess,6,37.0
3,Christian Kirksey,6,37.0
8,NaVorro Bowman,6,37.0
15,Eric Kendricks,6,37.0
89,Desmond King,6,37.0
78,Tony Jefferson,5,45.5
9,Zach Brown,5,45.5
10,Luke Kuechly,5,45.5
14,Kiko Alonso,5,45.5
90,Mychal Kendricks,5,45.5
124,Vontaze Burfict,5,45.5
32,Alec Ogletree,5,45.5
40,Myles Jack,5,45.5
101,Reuben Foster,5,45.5
31,Karlos Dansby,5,45.5
88,Anthony Barr,4,55.5
166,Lawrence Guy,4,55.5
6,CJ Mosley,4,55.5
38,Danny Trevathan,4,55.5
151,Shaq Thompson,4,55.5
36,Avery Williamson,4,55.5
16,Tahir Whitehead,4,55.5
83,Tyrann Mathieu,4,55.5
19,Brandon Marshall,4,55.5
29,Jarrad Davis,4,55.5
198,AJ Klein,3,70.0
123,Eric Reid,3,70.0
114,Elandon Roberts,3,70.0
79,Harrison Smith,3,70.0
109,Budda Baker,3,70.0
84,Damon Harrison,3,70.0
91,Barry Church,3,70.0
47,Nigel Bradham,3,70.0
41,Christian Jones,3,70.0
25,Kwon Alexander,3,70.0
139,Brian Poole,3,70.0
136,Brock Coyle,3,70.0
146,Paul Posluszny,3,70.0
49,Kevin Byard,3,70.0
60,Patrick Chung,3,70.0
50,Ramon Humber,3,70.0
28,Matthias Farley,3,70.0
23,Lavonte David,3,70.0
24,Jon Bostic,3,70.0
179,Anthony Brown,2,98.5
186,Derrick Kindred,2,98.5
187,Tavon Wilson,2,98.5
97,Kareem Jackson,2,98.5
182,Quandre Diggs,2,98.5
171,Calvin Munson,2,98.5
125,Tyvon Branch,2,98.5
107,Josh Jones,2,98.5
158,Kenny Vaccaro,2,98.5
157,Nicholas Morrow,2,98.5
110,Mike Adams,2,98.5
153,Malcolm Butler,2,98.5
116,Justin Simmons,2,98.5
141,Buster Skrine,2,98.5
137,Eric Weddle,2,98.5
170,Antoine Bethea,2,98.5
0,Blake Martinez,2,98.5
199,Jaquiski Tartt,2,98.5
93,Malcolm Jenkins,2,98.5
67,Byron Jones,2,98.5
65,Jaylon Smith,2,98.5
64,Deone Bucannon,2,98.5
61,Jamal Adams,2,98.5
53,Mark Barron,2,98.5
51,Darqueze Dennard,2,98.5
68,Jatavis Brown,2,98.5
45,Zach Cunningham,2,98.5
37,Sean Davis,2,98.5
34,Jordan Poyer,2,98.5
21,Telvin Smith,2,98.5
20,Landon Collins,2,98.5
17,KJ Wright,2,98.5
1,Preston Brown,2,98.5
44,Ryan Shazier,2,98.5
71,Craig Robertson,2,98.5
58,Anthony Hitchens,2,98.5
87,Darian Thompson,2,98.5
80,Nick Vigil,2,98.5
52,James Bradberry,1,132.0
147,Jamar Taylor,1,132.0
177,Marcus Gilchrist,1,132.0
144,Adrian Phillips,1,132.0
63,Todd Davis,1,132.0
140,Ray Ray Armstrong,1,132.0
39,Patrick Onwuasor,1,132.0
57,Lawrence Timmons,1,132.0
66,Jake Ryan,1,132.0
55,Travis Carrie,1,132.0
92,Martrell Spaight,1,132.0
185,Dre Kirkpatrick,1,132.0
94,Kendell Beckwith,1,132.0
131,Trae Waynes,1,132.0
132,Daryl Worley,1,132.0
12,Reshad Jones,1,132.0
73,DJ Swearinger,1,132.0
117,Morgan Burnett,1,132.0
197,Mike Mitchell,1,132.0
167,Shaquill Griffin,1,132.0
194,K'Waun Williams,1,132.0
173,Jonathan Cyprien,1,132.0
168,Deshazor Everett,1,132.0
27,Jahleel Addae,1,132.0
75,Karl Joseph,1,132.0
190,Artie Burns,1,132.0
26,Devin McCourty,1,132.0
102,Andre Hal,1,132.0
22,Sean Lee,1,132.0
174,AJ Bouye,0,173.5
103,Derrick Johnson,0,173.5
175,Brandon Carr,0,173.5
172,Jabrill Peppers,0,173.5
100,Hayes Pullard,0,173.5
181,Cory James,0,173.5
18,Antonio Morrison,0,173.5
183,Kendall Fuller,0,173.5
13,Keanu Neal,0,173.5
188,Trevor Williams,0,173.5
4,Deion Jones,0,173.5
191,Ricardo Allen,0,173.5
98,Eddie Jackson,0,173.5
193,Jourdan Lewis,0,173.5
195,Rodney McLeod,0,173.5
196,Ken Crawley,0,173.5
178,Xavier Rhodes,0,173.5
164,Zach Vigil,0,173.5
115,Adrian Amos,0,173.5
104,John Johnson,0,173.5
134,Josh Norman,0,173.5
133,Jalen Mills,0,173.5
130,Tashaun Gipson,0,173.5
129,Jason McCourty,0,173.5
128,Justin Evans,0,173.5
127,Trumaine Johnson,0,173.5
135,Darian Stewart,0,173.5
126,Ron Parker,0,173.5
70,Ha'Sean Clinton-Dix,0,173.5
122,Jeff Heath,0,173.5
