,NAME,SOLO,SOLO_rank
0,Bobby Wagner,88,8.5
1,Blake Martinez,97,3.5
2,Jordan Hicks,92,5.0
3,Budda Baker,105,1.0
4,Luke Kuechly,80,16.0
5,Zach Cunningham,100,2.0
6,Jaylon Smith,84,11.0
7,Todd Davis,81,14.5
8,Cory Littleton,76,20.5
9,Joe Schobert,90,6.0
10,KJ Wright,67,37.5
11,Eric Reid,97,3.5
12,De'Vondre Campbell,74,23.5
13,Jerome Baker,76,20.5
14,Anthony Walker,85,10.0
15,Lavonte David,82,13.0
16,Darius Leonard,71,29.5
17,Fred Warner,89,7.0
18,Landon Collins,78,18.5
19,Tremaine Edmunds,66,41.0
20,Shawn Williams,78,18.5
21,Logan Ryan,73,25.5
22,Thomas Davis,65,45.5
23,Rashaan Evans,70,32.5
24,Demario Davis,88,8.5
25,Nick Vigil,59,60.0
26,Deion Jones,68,35.5
27,Antoine Bethea,81,14.5
28,Eric Kendricks,70,32.5
29,Devin Bush,72,27.0
30,Shaq Thompson,75,22.0
31,Eric Weddle,61,55.0
32,Tahir Whitehead,79,17.0
33,Jordan Poyer,71,29.5
34,Cole Holcomb,74,23.5
35,Terrell Edmunds,71,29.5
36,Jayon Brown,67,37.5
37,Jon Bostic,56,71.0
38,Tracy Walker,83,12.0
39,Matt Milano,65,45.5
40,Benardrick McKinney,53,85.5
41,Taylor Rapp,56,71.0
42,Roquan Smith,66,41.0
43,Jessie Bates III,71,29.5
44,Tavon Wilson,69,34.0
45,Alexander Johnson,45,141.0
46,Justin Simmons,64,49.0
47,Dre Greenlaw,64,49.0
48,Devin White,59,60.0
49,Vonn Bell,66,41.0
50,Anthony Hitchens,50,109.0
51,Sean Lee,55,74.5
52,Ricardo Allen,54,78.5
53,Harrison Smith,65,45.5
54,Adrian Amos,68,35.5
55,Kenny Vaccaro,51,100.0
56,Kevin Byard,60,57.0
57,Cameron Heyward,51,100.0
58,David Mayo,52,93.0
59,Kyle Fuller,73,25.5
60,Jamie Collins,58,62.5
61,Mack Wilson,57,66.0
62,Mark Barron,58,62.5
63,Tre Flowers,65,45.5
64,Damien Wilson,55,74.5
65,Eric Rowe,54,78.5
66,Malcolm Jenkins,63,51.5
67,Alec Ogletree,48,122.0
68,James Burgess,52,93.0
69,Jarrod Wilson,57,66.0
70,Chidobe Awuzie,48,122.0
71,Anthony Barr,54,78.5
72,Byron Murphy,66,41.0
73,Ha'Sean Clinton-Dix,62,53.5
74,Nathan Gerry,52,93.0
75,Justin Reid,57,66.0
76,Rodney McLeod,46,134.0
77,Xavier Woods,52,93.0
78,Nick Kwiatkoski,57,66.0
79,Levi Wallace,66,41.0
80,Germaine Pratt,50,109.0
81,Haason Reddick,44,148.0
82,Sam Hubbard,47,128.5
83,Jabrill Peppers,51,100.0
84,Tyrann Mathieu,64,49.0
85,Drue Tranquill,60,57.0
86,Jamal Adams,62,53.5
87,Neville Hewitt,45,141.0
88,Erik Harris,63,51.5
89,Charvarius Ward,56,71.0
90,Damontae Kazee,46,134.0
91,Davon Godchaux,33,189.0
92,Chuck Clark,42,156.0
93,Nicholas Morrow,53,85.5
94,Markus Golden,39,168.5
95,Micah Hyde,50,109.0
96,Raekwon McMillan,36,178.0
97,Leighton Vander Esch,43,152.5
98,Dont'a Hightower,48,122.0
99,Khari Willis,53,85.5
100,Mychal Kendricks,45,141.0
101,Ronnie Harrison,44,148.0
102,Kareem Jackson,50,109.0
103,Danielle Hunter,52,93.0
104,Brad McDougald,52,93.0
105,Danny Trevathan,51,100.0
106,Minkah Fitzpatrick,44,148.0
107,Grady Jarrett,39,168.5
108,AJ Klein,48,122.0
109,Jordan Whitehead,50,109.0
110,Harold Landry,43,152.5
111,Tre Boston,53,85.5
112,Bud Dupree,48,122.0
113,Jonathan Allen,47,128.5
114,Denzel Perryman,50,109.0
115,Joey Bosa,46,134.0
116,Rashaan Melvin,60,57.0
117,Kevin King,56,71.0
118,Myles Jack,42,156.0
119,Joe Haden,59,60.0
120,Marcus Maye,49,116.0
121,Joe Walker,41,161.0
122,Marlon Humphrey,48,122.0
123,Mike Hilton,53,85.5
124,Bobby Okereke,46,134.0
125,James Bradberry,50,109.0
126,AJ Bouye,50,109.0
127,Patrick Onwuasor,48,122.0
128,Shaquill Griffin,46,134.0
129,Jimmie Ward,51,100.0
130,Matt Ioannidis,42,156.0
131,Michael Brockers,31,194.5
132,Xavier Rhodes,54,78.5
133,Carlos Dunlap,39,168.5
134,Jeff Heath,41,161.0
135,Darryl Roberts,57,66.0
136,Jarrad Davis,38,171.5
137,Sheldon Richardson,44,148.0
138,Deforest Buckner,34,187.5
139,Eric Wilson,37,173.5
140,Isaiah Oliver,50,109.0
141,Rock Ya-Sin,54,78.5
142,Ross Cockrell,49,116.0
143,Montae Nicholson,45,141.0
144,Foyesade Oluokun,35,184.0
145,Danny Shelton,30,196.0
146,Kenny Clark,32,191.5
147,Lawrence Guy,35,184.0
148,Deandre Baker,49,116.0
149,Richard Sherman,47,128.5
150,Vernon Hargreaves,51,100.0
151,Steven Nelson,52,93.0
152,Janoris Jenkins,51,100.0
153,Nigel Bradham,32,191.5
154,Damarious Randall,45,141.0
155,Kenny Moore,50,109.0
156,Donald Payne,37,173.5
157,Javon Hargrave,36,178.0
158,Eddie Jackson,53,85.5
159,Anthony Harris,35,184.0
160,Carlton Davis,54,78.5
161,Jomal Wiltz,40,165.0
162,Brian Poole,48,122.0
163,Vince Biegel,27,199.0
164,Jaire Alexander,50,109.0
165,Shaquil Barrett,44,148.0
166,Juan Thornhill,42,156.0
167,Devon Kennard,45,141.0
168,Devin McCourty,46,134.0
169,Troy Reeder,36,178.0
170,Dante Fowler Jr,36,178.0
171,Jahlani Tavai,38,171.5
172,Daryl Worley,53,85.5
173,Tre'Davious White,48,122.0
174,Eli Apple,53,85.5
175,Trae Waynes,56,71.0
176,Daniel Sorensen,45,141.0
177,Calais Campbell,36,178.0
178,Kyle Van Noy,40,165.0
179,Marshon Lattimore,46,134.0
180,Jalen Thompson,44,148.0
181,Preston Smith,36,178.0
182,Tyeler Davison,25,200.0
183,Chris Harris,44,148.0
184,Ben Niemann,35,184.0
185,Da'ron Payne,32,191.5
186,Za'Darius Smith,41,161.0
187,Christian Wilkins,31,194.5
188,Lorenzo Alexander,36,178.0
189,TJ Watt,35,184.0
190,Tre Herndon,41,161.0
191,Marcus Williams,39,168.5
