,NAME,TCKL,TCKL_rank
0,Darius Leonard,161,1.0
1,Blake Martinez,143,2.0
2,Leighton Vander Esch,141,3.0
3,Bobby Wagner,137,4.5
4,Anthony Hitchens,137,4.5
5,Telvin Smith,133,7.0
6,Mason Foster,134,6.0
7,Luke Kuechly,131,8.0
8,Tahir Whitehead,124,11.0
9,Cory Littleton,125,9.5
10,Kiko Alonso,125,9.5
11,Fred Warner,123,12.0
12,Roquan Smith,122,13.5
13,Avery Williamson,121,16.0
14,Jaylon Smith,122,13.5
15,Tremaine Edmunds,121,16.0
16,Antoine Bethea,121,16.0
17,John Johnson,117,19.0
18,Lavonte David,119,18.0
19,Jamal Adams,114,20.0
20,Todd Davis,113,21.0
21,Wesley Woodyard,111,22.0
22,Jessie Bates III,110,23.5
23,Shawn Williams,108,25.5
24,Demario Davis,110,23.5
25,Eric Kendricks,108,25.5
26,Myles Jack,107,27.5
27,Zach Cunningham,107,27.5
28,Derwin James,105,31.5
29,Raekwon McMillan,104,35.0
30,Benardrick McKinney,105,31.5
31,CJ Mosley,106,29.0
32,Anthony Walker,104,35.0
33,Jamie Collins,105,31.5
34,Joe Schobert,104,35.0
35,Danny Trevathan,103,37.0
36,Budda Baker,105,31.5
37,Jordan Poyer,101,38.0
38,Jarrad Davis,100,39.5
39,Malcolm Jenkins,98,41.5
40,Zach Brown,100,39.5
41,Justin Simmons,96,45.5
42,Jayon Brown,98,41.5
43,Jatavis Brown,97,43.5
44,Nigel Bradham,97,43.5
45,Landon Collins,96,45.5
46,Adrian Phillips,94,47.0
47,De'Vondre Campbell,93,48.5
48,Alec Ogletree,93,48.5
49,Ha'Sean Clinton-Dix,92,50.5
50,Kyle Van Noy,92,50.5
51,Foyesade Oluokun,90,52.0
52,Jordan Hicks,89,54.5
53,Kevin Byard,89,54.5
54,Tyrann Mathieu,89,54.5
55,Clayton Geathers,89,54.5
56,Justin Reid,87,58.0
57,Vonn Bell,88,57.0
58,Kareem Jackson,86,59.0
59,Reggie Ragland,85,61.0
60,TJ McDonald,85,61.0
61,Jeff Heath,85,61.0
62,Harrison Smith,83,64.0
63,Damarious Randall,82,66.0
64,Patrick Chung,82,66.0
65,Nick Vigil,84,63.0
66,Devin McCourty,81,68.0
67,Kendall Fuller,82,66.0
68,Damon Harrison,79,75.5
69,Damontae Kazee,80,71.0
70,Minkah Fitzpatrick,80,71.0
71,Haason Reddick,78,80.5
72,Jerome Baker,79,75.5
73,Sean Davis,80,71.0
74,Jabrill Peppers,79,75.5
75,Pierre Desir,80,71.0
76,Tre Boston,79,75.5
77,Shaq Thompson,78,80.5
78,Thomas Davis,80,71.0
79,Terrell Edmunds,77,85.0
80,Quandre Diggs,78,80.5
81,Brad McDougald,78,80.5
82,Lamarcus Joyner,78,80.5
83,Matt Milano,78,80.5
84,Ron Parker,75,91.0
85,Kenny Moore,77,85.0
86,Jordan Whitehead,77,85.0
87,Vince Williams,75,91.0
88,Logan Ryan,76,87.0
89,Jahleel Addae,74,98.0
90,Brian Poole,75,91.0
91,Curtis Riley,75,91.0
92,Mike Adams,75,91.0
93,Eli Apple,75,91.0
94,Josh Bynes,75,91.0
95,Glover Quin,74,98.0
96,Travis Carrie,74,98.0
97,Tony Jefferson,74,98.0
98,Darron Lee,74,98.0
99,Donte Jackson,73,102.5
100,Jon Bostic,74,98.0
101,Adrian Amos,71,106.5
102,Adoree` Jackson,74,98.0
103,Lorenzo Alexander,73,102.5
104,Calais Campbell,72,104.0
105,Danielle Hunter,70,110.5
106,Chidobe Awuzie,71,106.5
107,Reshad Jones,71,106.5
108,Eric Reid,69,114.0
109,Janoris Jenkins,70,110.5
110,Jason McCourty,70,110.5
111,James Bradberry,71,106.5
112,AJ Klein,69,114.0
113,Christian Jones,70,110.5
114,Malcolm Butler,69,114.0
115,Marquel Lee,68,117.5
116,TJ Watt,68,117.5
117,Steven Nelson,68,117.5
118,Eric Weddle,68,117.5
119,Darqueze Dennard,67,121.0
120,Byron Jones,67,121.0
121,Deforest Buckner,66,125.5
122,Tre Flowers,66,125.5
123,Desmond Trufant,66,125.5
124,Prince Amukamara,66,125.5
125,Jaire Alexander,66,125.5
126,Jalen Ramsey,65,129.0
127,Elandon Roberts,66,125.5
128,Elijah Lee,67,121.0
129,Josh Norman,64,130.5
130,Demarcus Lawrence,64,130.5
131,Joe Haden,63,132.0
132,Shaquill Griffin,62,133.5
133,Jurrell Casey,61,138.0
134,Desmond King,61,138.0
135,JJ Watt,61,138.0
136,BJ Goodson,61,138.0
137,Bobby McCain,62,133.5
138,Jordan Evans,61,138.0
139,Duke Riley,60,144.0
140,Alex Anzalone,61,138.0
141,Jonathan Allen,60,144.0
142,Adarius Taylor,60,144.0
143,Darian Stewart,60,144.0
144,Mark Barron,61,138.0
145,Patrick Onwuasor,57,165.5
146,Bradley Chubb,59,150.5
147,Marshon Lattimore,59,150.5
148,Dalvin Tomlinson,59,150.5
149,BW Webb,59,150.5
150,Lawrence Guy,60,144.0
151,Aaron Donald,58,158.0
152,Marcus Williams,59,150.5
153,Ndamukong Suh,59,150.5
154,Justin Evans,59,150.5
155,Rasul Douglas,58,158.0
156,Marcus Gilchrist,57,165.5
157,Josey Jewell,58,158.0
158,Jason Pierre-Paul,58,158.0
159,Fabian Moreau,57,165.5
160,Micah Hyde,58,158.0
161,Buster Skrine,58,158.0
162,Johnathan Joseph,57,165.5
163,Kenny Vaccaro,59,150.5
164,Michael Thomas,57,165.5
165,Hardy Nickerson Jr,56,173.0
166,Linval Joseph,58,158.0
167,Mike Hilton,57,165.5
168,Morris Claiborne,57,165.5
169,Trey Flowers,56,173.0
170,Tedric Thompson,57,165.5
171,Briean Boddy-Calhoun,56,173.0
172,Jonathan Jones,56,173.0
173,Da'ron Payne,55,181.5
174,Rashaan Melvin,55,181.5
175,Corey Graham,55,181.5
176,Dee Ford,53,194.5
177,Gerald Hodges,54,189.0
178,Justin Coleman,56,173.0
179,Kyle Fuller,55,181.5
180,Akiem Hicks,55,181.5
181,Eric Murray,55,181.5
182,Xavier Woods,55,181.5
183,Anthony Barr,56,173.0
184,Josh Jones,55,181.5
185,Kenny Clark,56,173.0
186,Tramon Williams,54,189.0
187,Michael Brockers,54,189.0
188,Tashaun Gipson,55,181.5
189,Patrick Peterson,54,189.0
190,Tre'Davious White,54,189.0
191,Bene' Benwikere,53,194.5
192,Ben Gedeon,55,181.5
193,AJ Bouye,53,194.5
194,Rashaan Evans,53,194.5
195,Nevin Lawson,52,199.0
196,PJ Williams,53,194.5
197,Denzel Ward,53,194.5
198,Deion Jones,52,199.0
199,Preston Smith,52,199.0
