,NAME,TFL,TFL_rank
161,Chandler Jones,28.5,1.0
159,Jadeveon Clowney,23.0,2.0
169,Von Miller,18.5,4.0
119,Calais Campbell,18.5,4.0
160,Demarcus Lawrence,18.5,4.0
156,Matt Judon,18.0,6.5
176,Melvin Ingram,18.0,6.5
142,Cameron Jordan,17.0,8.0
165,Bruce Irvin,16.0,9.0
105,Joey Bosa,15.5,10.0
184,Grady Jarrett,15.0,12.0
77,Khalil Mack,15.0,12.0
162,Justin Houston,15.0,12.0
7,Bobby Wagner,14.5,14.0
5,Demario Davis,14.0,15.0
9,Zach Brown,13.5,17.0
95,James Burgess,13.5,17.0
11,Wesley Woodyard,13.5,17.0
152,Jurrell Casey,13.0,19.5
22,Sean Lee,13.0,19.5
112,Jason Pierre-Paul,12.0,22.5
6,CJ Mosley,12.0,22.5
186,Derrick Kindred,12.0,22.5
21,Telvin Smith,12.0,22.5
0,Blake Martinez,11.5,25.5
4,Deion Jones,11.5,25.5
192,TJ Watt,11.0,27.0
42,Vince Williams,10.5,29.0
145,Trey Flowers,10.5,29.0
155,Mike Hilton,10.5,29.0
61,Jamal Adams,10.0,32.0
33,Darron Lee,10.0,32.0
30,Benardrick McKinney,10.0,32.0
3,Christian Kirksey,9.5,35.0
27,Jahleel Addae,9.5,35.0
16,Tahir Whitehead,9.5,35.0
88,Anthony Barr,9.0,39.0
58,Anthony Hitchens,9.0,39.0
10,Luke Kuechly,9.0,39.0
15,Eric Kendricks,9.0,39.0
84,Damon Harrison,9.0,39.0
180,Kenny Clark,8.5,42.5
96,Kyle Van Noy,8.5,42.5
149,Manti Te'o,8.0,45.5
50,Ramon Humber,8.0,45.5
24,Jon Bostic,8.0,45.5
23,Lavonte David,8.0,45.5
158,Kenny Vaccaro,7.5,53.0
78,Tony Jefferson,7.5,53.0
151,Shaq Thompson,7.5,53.0
53,Mark Barron,7.5,53.0
79,Harrison Smith,7.5,53.0
148,Deforest Buckner,7.5,53.0
45,Zach Cunningham,7.5,53.0
1,Preston Brown,7.5,53.0
8,NaVorro Bowman,7.5,53.0
25,Kwon Alexander,7.5,53.0
37,Sean Davis,7.5,53.0
171,Calvin Munson,7.0,62.0
146,Paul Posluszny,7.0,62.0
189,Michael Brockers,7.0,62.0
71,Craig Robertson,7.0,62.0
108,Lorenzo Alexander,7.0,62.0
101,Reuben Foster,7.0,62.0
94,Kendell Beckwith,7.0,62.0
124,Vontaze Burfict,6.5,68.0
2,Joe Schobert,6.5,68.0
14,Kiko Alonso,6.5,68.0
40,Myles Jack,6.5,68.0
166,Lawrence Guy,6.5,68.0
89,Desmond King,6.0,77.0
83,Tyrann Mathieu,6.0,77.0
17,KJ Wright,6.0,77.0
80,Nick Vigil,6.0,77.0
19,Brandon Marshall,6.0,77.0
43,Daniel Sorensen,6.0,77.0
115,Adrian Amos,6.0,77.0
59,Vonn Bell,6.0,77.0
187,Tavon Wilson,6.0,77.0
31,Karlos Dansby,6.0,77.0
36,Avery Williamson,6.0,77.0
181,Cory James,6.0,77.0
198,AJ Klein,6.0,77.0
118,Linval Joseph,5.5,87.0
117,Morgan Burnett,5.5,87.0
41,Christian Jones,5.5,87.0
12,Reshad Jones,5.5,87.0
85,Thomas Davis,5.5,87.0
47,Nigel Bradham,5.5,87.0
103,Derrick Johnson,5.5,87.0
107,Josh Jones,5.0,94.5
57,Lawrence Timmons,5.0,94.5
114,Elandon Roberts,5.0,94.5
194,K'Waun Williams,5.0,94.5
182,Quandre Diggs,5.0,94.5
54,Glover Quin,5.0,94.5
157,Nicholas Morrow,5.0,94.5
131,Trae Waynes,5.0,94.5
13,Keanu Neal,4.5,104.0
116,Justin Simmons,4.5,104.0
109,Budda Baker,4.5,104.0
29,Jarrad Davis,4.5,104.0
185,Dre Kirkpatrick,4.5,104.0
92,Martrell Spaight,4.5,104.0
66,Jake Ryan,4.5,104.0
72,George Iloka,4.5,104.0
90,Mychal Kendricks,4.5,104.0
130,Tashaun Gipson,4.5,104.0
65,Jaylon Smith,4.5,104.0
147,Jamar Taylor,4.0,119.5
125,Tyvon Branch,4.0,119.5
129,Jason McCourty,4.0,119.5
136,Brock Coyle,4.0,119.5
132,Daryl Worley,4.0,119.5
123,Eric Reid,4.0,119.5
199,Jaquiski Tartt,4.0,119.5
64,Deone Bucannon,4.0,119.5
32,Alec Ogletree,4.0,119.5
34,Jordan Poyer,4.0,119.5
35,De'Vondre Campbell,4.0,119.5
39,Patrick Onwuasor,4.0,119.5
102,Andre Hal,4.0,119.5
44,Ryan Shazier,4.0,119.5
55,Travis Carrie,4.0,119.5
63,Todd Davis,4.0,119.5
67,Byron Jones,4.0,119.5
73,DJ Swearinger,4.0,119.5
97,Kareem Jackson,4.0,119.5
75,Karl Joseph,4.0,119.5
18,Antonio Morrison,3.5,132.0
20,Landon Collins,3.5,132.0
111,Tre'Davious White,3.5,132.0
100,Hayes Pullard,3.5,132.0
93,Malcolm Jenkins,3.5,132.0
60,Patrick Chung,3.0,140.0
113,Brad McDougald,3.0,140.0
135,Darian Stewart,3.0,140.0
91,Barry Church,3.0,140.0
137,Eric Weddle,3.0,140.0
49,Kevin Byard,3.0,140.0
26,Devin McCourty,3.0,140.0
173,Jonathan Cyprien,3.0,140.0
28,Matthias Farley,3.0,140.0
179,Anthony Brown,3.0,140.0
38,Danny Trevathan,3.0,140.0
164,Zach Vigil,2.5,148.5
177,Marcus Gilchrist,2.5,148.5
52,James Bradberry,2.5,148.5
183,Kendall Fuller,2.5,148.5
141,Buster Skrine,2.5,148.5
56,Vincent Rey,2.5,148.5
120,Kyle Fuller,2.0,162.5
175,Brandon Carr,2.0,162.5
188,Trevor Williams,2.0,162.5
190,Artie Burns,2.0,162.5
167,Shaquill Griffin,2.0,162.5
51,Darqueze Dennard,2.0,162.5
106,Adoree` Jackson,2.0,162.5
193,Jourdan Lewis,2.0,162.5
195,Rodney McLeod,2.0,162.5
122,Jeff Heath,2.0,162.5
87,Darian Thompson,2.0,162.5
138,Jalen Ramsey,2.0,162.5
128,Justin Evans,2.0,162.5
144,Adrian Phillips,2.0,162.5
143,Logan Ryan,2.0,162.5
70,Ha'Sean Clinton-Dix,2.0,162.5
140,Ray Ray Armstrong,2.0,162.5
139,Brian Poole,2.0,162.5
62,Micah Hyde,2.0,162.5
81,Dontae Johnson,2.0,162.5
86,Kurt Coleman,2.0,162.5
68,Jatavis Brown,2.0,162.5
46,Reggie Nelson,1.5,174.5
170,Antoine Bethea,1.5,174.5
191,Ricardo Allen,1.0,182.5
110,Mike Adams,1.0,182.5
104,John Johnson,1.0,182.5
133,Jalen Mills,1.0,182.5
196,Ken Crawley,1.0,182.5
197,Mike Mitchell,1.0,182.5
98,Eddie Jackson,1.0,182.5
74,Tre Boston,1.0,182.5
178,Xavier Rhodes,1.0,182.5
154,Darius Slay,1.0,182.5
76,Andrew Sendejo,1.0,182.5
48,Earl Thomas,1.0,182.5
153,Malcolm Butler,1.0,182.5
99,Marcus Williams,1.0,182.5
121,Robert Alford,0.5,190.0
69,Marcus Maye,0.0,195.5
172,Jabrill Peppers,0.0,195.5
174,AJ Bouye,0.0,195.5
150,Ryan Smith,0.0,195.5
168,Deshazor Everett,0.0,195.5
134,Josh Norman,0.0,195.5
127,Trumaine Johnson,0.0,195.5
126,Ron Parker,0.0,195.5
163,EJ Gaines,0.0,195.5
82,Chris Conte,0.0,195.5
