name,salary
Russell Wilson,"$35,000,000  "
Ben Roethlisberger,"$34,000,000  "
Jared Goff,"$33,500,000  "
Aaron Rodgers,"$33,500,000  "
Carson Wentz,"$32,000,000  "
Matt Ryan,"$30,000,000  "
Kirk Cousins,"$28,000,000  "
Jimmy Garoppolo,"$27,500,000  "
Matthew Stafford,"$27,000,000  "
Derek Carr,"$25,000,000  "
Drew Brees,"$25,000,000  "
Alex Smith,"$23,500,000  "
Khalil Mack,"$23,500,000  "
Tom Brady,"$23,000,000  "
Aaron Donald,"$22,500,000  "
Joe Flacco,"$22,133,333  "
Nick Foles,"$22,000,000  "
Julio Jones,"$22,000,000  "
DeMarcus Lawrence,"$21,000,000  "
Frank Clark,"$20,800,000  "
Cam Newton,"$20,760,000  "
Michael Thomas,"$19,250,000  "
Von Miller,"$19,016,667  "
Bobby Wagner,"$18,000,000  "
Trey Flowers,"$18,000,000  "
Lane Johnson,"$18,000,000  "
"Odell Beckham, Jr.","$18,000,000  "
Tyreek Hill,"$18,000,000  "
Cameron Jordan,"$17,500,000  "
Dee Ford,"$17,100,000  "
Fletcher Cox,"$17,100,000  "
Grady Jarrett,"$17,000,000  "
C.J. Mosley,"$17,000,000  "
Olivier Vernon,"$17,000,000  "
J.J. Watt,"$16,667,571  "
Trenton Brown,"$16,500,000  "
Mike Evans,"$16,500,000  "
Chandler Jones,"$16,500,000  "
Za'Darius Smith,"$16,500,000  "
Geno Atkins,"$16,300,000  "
DeAndre Hopkins,"$16,200,000  "
Brandin Cooks,"$16,200,000  "
Kawann Short,"$16,100,000  "
Adam Thielen,"$16,050,000  "
Andy Dalton,"$16,000,000  "
Melvin Ingram,"$16,000,000  "
Taylor Lewan,"$16,000,000  "
Sammy Watkins,"$16,000,000  "
Nate Solder,"$15,500,000  "
Jarvis Landry,"$15,100,000  "
Jurrell Casey,"$15,100,000  "
Xavien Howard,"$15,050,000  "
Jacoby Brissett,"$15,000,000  "
Calais Campbell,"$15,000,000  "
Ezekiel Elliott,"$15,000,000  "
Eddie Jackson,"$14,600,000  "
D.J. Humphries,"$14,583,333  "
Trumaine Johnson,"$14,500,000  "
Davante Adams,"$14,500,000  "
Jake Matthews,"$14,500,000  "
Stefon Diggs,"$14,400,000  "
Danielle Hunter,"$14,400,000  "
Todd Gurley,"$14,375,000  "
Deion Jones,"$14,250,000  "
Myles Jack,"$14,250,000  "
Kevin Byard,"$14,100,000  "
Brandon Brooks,"$14,087,500  "
Xavier Rhodes,"$14,020,000  "
Patrick Peterson,"$14,010,000  "
Allen Robinson,"$14,000,000  "
Landon Collins,"$14,000,000  "
Joe Staley,"$14,000,000  "
Marcus Peters,"$14,000,000  "
Tyrann Mathieu,"$14,000,000  "
Zack Martin,"$14,000,000  "
Earl Thomas,"$13,750,000  "
Donovan Smith,"$13,750,000  "
Desmond Trufant,"$13,750,000  "
Shaq Thompson,"$13,608,250  "
