name,salary
Matthew Stafford,"$27,000,000  "
Derek Carr,"$25,000,000  "
Andrew Luck,"$24,594,000  "
Carson Palmer,"$24,350,000  "
Drew Brees,"$24,250,000  "
Kirk Cousins,"$23,943,600  "
Joe Flacco,"$22,133,333  "
Aaron Rodgers,"$22,000,000  "
Russell Wilson,"$21,900,000  "
Ben Roethlisberger,"$21,850,000  "
Eli Manning,"$21,000,000  "
Philip Rivers,"$20,812,500  "
Cam Newton,"$20,760,000  "
Matt Ryan,"$20,750,000  "
Tom Brady,"$20,500,000  "
Ryan Tannehill,"$19,250,000  "
Ndamukong Suh,"$19,062,500  "
Von Miller,"$19,016,667  "
Sam Bradford,"$18,000,000  "
Muhammad Wilkerson,"$17,200,000  "
Fletcher Cox,"$17,100,000  "
Alex Smith,"$17,000,000  "
Olivier Vernon,"$17,000,000  "
Antonio Brown,"$17,000,000  "
Justin Houston,"$16,833,333  "
Trumaine Johnson,"$16,742,400  "
J.J. Watt,"$16,667,571  "
Chandler Jones,"$16,500,000  "
DeAndre Hopkins,"$16,200,000  "
Kawann Short,"$16,100,000  "
Marcell Dareus,"$16,095,686  "
Andy Dalton,"$16,000,000  "
Melvin Ingram,"$16,000,000  "
Gerald McCoy,"$15,866,667  "
Jason Pierre-Paul,"$15,500,000  "
Tyrod Taylor,"$15,250,000  "
Jurrell Casey,"$15,100,000  "
Josh Norman,"$15,000,000  "
A.J. Green,"$15,000,000  "
Calais Campbell,"$15,000,000  "
Mike Glennon,"$15,000,000  "
Everson Griffen,"$14,500,000  "
Davante Adams,"$14,500,000  "
Robert Quinn,"$14,253,724  "
Julio Jones,"$14,251,209  "
Malik Jackson,"$14,250,000  "
Xavier Rhodes,"$14,020,000  "
Patrick Peterson,"$14,010,000  "
Dez Bryant,"$14,000,000  "
Demaryius Thomas,"$14,000,000  "
Richard Sherman,"$14,000,000  "
Desmond Trufant,"$13,750,000  "
Trent Williams,"$13,600,000  "
A.J. Bouye,"$13,500,000  "
Russell Okung,"$13,250,000  "
Clay Matthews,"$13,200,000  "
Terron Armstead,"$13,000,000  "
Alshon Jeffery,"$13,000,000  "
T.Y. Hilton,"$13,000,000  "
Eric Berry,"$13,000,000  "
Stephon Gilmore,"$13,000,000  "
Linval Joseph,"$12,587,500  "
Tyrann Mathieu,"$12,500,000  "
Jamie Collins,"$12,500,000  "
Janoris Jenkins,"$12,500,000  "
Luke Kuechly,"$12,360,313  "
Tyron Smith,"$12,200,000  "
Le'Veon Bell,"$12,120,000  "
Darius Slay,"$12,037,500  "
Stephon Tuitt,"$12,000,288  "
Kevin Zeitler,"$12,000,000  "
Timmy Jernigan,"$12,000,000  "
Eric Fisher,"$12,000,000  "
Cordy Glenn,"$12,000,000  "
Kam Chancellor,"$12,000,000  "
Reshad Jones,"$12,000,000  "
David Bakhtiari,"$12,000,000  "
Akiem Hicks,"$12,000,000  "
Nick Perry,"$11,800,000  "
Riley Reiff,"$11,750,000  "
Kelechi Osemele,"$11,700,000  "
Joe Thomas,"$11,500,000  "
Ryan Kerrigan,"$11,500,000  "
Doug Baldwin,"$11,500,000  "
Telvin Smith,"$11,262,794  "
Lane Johnson,"$11,252,000  "
Trai Turner,"$11,250,000  "
Andrew Whitworth,"$11,250,000  "
Keenan Allen,"$11,250,000  "
DeSean Jackson,"$11,166,667  "
Matt Kalil,"$11,100,000  "
Michael Brockers,"$11,083,333  "
Larry Fitzgerald,"$11,000,000  "
Cameron Jordan,"$11,000,000  "
Emmanuel Sanders,"$11,000,000  "
Gabe Jackson,"$11,000,000  "
Anthony Castonzo,"$10,953,000  "
Vontaze Burfict,"$10,844,667  "
Tyler Boyd,"$10,762,500  "
Bobby Wagner,"$10,750,000  "
Alec Ogletree,"$10,687,500  "
Geno Atkins,"$10,665,400  "
Brandon Williams,"$10,500,000  "
Dre Kirkpatrick,"$10,500,000  "
Tavon Austin,"$10,500,000  "
Brandon Linder,"$10,340,600  "
Jimmy Smith,"$10,275,500  "
Harrison Smith,"$10,250,000  "
Corey Liuget,"$10,250,000  "
Mike Daniels,"$10,250,000  "
Michael Bennett,"$10,166,667  "
Allen Hurns,"$10,162,500  "
Lavonte David,"$10,050,000  "
Nate Solder,"$10,031,000  "
Kyle Long,"$10,000,000  "
Earl Thomas,"$10,000,000  "
Jimmy Graham,"$10,000,000  "
Logan Ryan,"$10,000,000  "
Jay Cutler,"$10,000,000  "
David DeCastro,"$10,000,000  "
Randall Cobb,"$10,000,000  "
Cameron Heyward,"$9,866,667  "
Jordy Nelson,"$9,762,500  "
Pierre Garcon,"$9,500,000  "
Christian Kirksey,"$9,500,000  "
Aqib Talib,"$9,500,000  "
Ricky Wagner,"$9,500,000  "
T.J. Lang,"$9,500,000  "
Devin McCourty,"$9,500,000  "
Robert Alford,"$9,500,000  "
Sean Smith,"$9,500,000  "
Vinny Curry,"$9,450,000  "
Travis Frederick,"$9,400,010  "
Travis Kelce,"$9,368,400  "
Jordan Reed,"$9,350,000  "
Donald Penn,"$9,350,000  "
Charles Leno,"$9,250,000  "
Jason Peters,"$9,250,000  "
Damon Harrison,"$9,250,000  "
Bruce Irvin,"$9,250,000  "
Derek Wolfe,"$9,175,000  "
Johnathan Hankins,"$9,000,000  "
Mark Barron,"$9,000,000  "
Tyrone Crawford,"$9,000,000  "
Ron Leary,"$9,000,000  "
Jerry Hughes,"$9,000,000  "
Alex Mack,"$9,000,000  "
Rob Gronkowski,"$9,000,000  "
Justin Britt,"$9,000,000  "
Joe Haden,"$9,000,000  "
Mike Pouncey,"$8,950,000  "
Duane Brown,"$8,900,000  "
Rodney Hudson,"$8,900,000  "
Dont'a Hightower,"$8,875,000  "
Maurkice Pouncey,"$8,827,325  "
Brian Cushing,"$8,750,000  "
Malcolm Jenkins,"$8,750,000  "
Joel Bitonio,"$8,527,463  "
Kareem Jackson,"$8,500,000  "
Tony Jefferson,"$8,500,000  "
Larry Warford,"$8,500,000  "
Jabaal Sheard,"$8,500,000  "
Zach Ertz,"$8,500,000  "
Chris Harris,"$8,500,000  "
Michael Crabtree,"$8,500,000  "
Corey Linsley,"$8,500,000  "
David Amerson,"$8,482,500  "
Laurent Duvernay-Tardif,"$8,472,600  "
Ryan Kalil,"$8,375,000  "
Devonta Freeman,"$8,250,000  "
Cameron Wake,"$8,062,500  "
Jonathan Stewart,"$8,000,000  "
Mike Iupati,"$8,000,000  "
Brandon Brooks,"$8,000,000  "
Kelvin Beachum,"$8,000,000  "
Bennie Logan,"$8,000,000  "
Marvin Jones,"$8,000,000  "
LeSean McCoy,"$8,000,000  "
Brandon Marshall,"$8,000,000  "
Eric Wood,"$8,000,000  "
Dontari Poe,"$8,000,000  "
Luke Joeckel,"$8,000,000  "
Andre Branch,"$8,000,000  "
Kenny Stills,"$8,000,000  "
Marshal Yanda,"$7,979,412  "
Carlos Dunlap,"$7,874,000  "
Andy Levitre,"$7,800,000  "
Pernell McPhee,"$7,750,000  "
Brian Orakpo,"$7,750,000  "
Morgan Moses,"$7,700,000  "
La'el Collins,"$7,700,000  "
Myles Garrett,"$7,603,064  "
